candidate_id,trt_layer_name,onnx_node_name,onnx_node_index,op_type,input_0,input_1,output,input_0_shape,input_1_shape,output_shape,dtype,decoder_layer,runtime_context,historical_calls,historical_total_time,historical_mean_time,historical_measurement_boundary,source_artifact,confidence,notes
P6A_001,/MatMul_myl0_15,/MatMul,3,MatMul,/Add_output_0'.1[16x1x128],shuffle_output_/Reshape_4 _ /Transpose_3_first_transpose_output.1[16x128x-1],__mye567707[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,0,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,11,55060192 ns,5005472.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=2; kernels=trt_ampere_h16816gemm_128x64_ldg8_nn_v1;sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=75840 ns
P6A_002,/MatMul_1_myl0_18,/MatMul_1,1,MatMul,/Softmax_output'.1[16x1x-1],/Expand_1_output_0'.1[16x-1x128],__myln_k_arg__bb1_2688[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,0,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,131328 ns,32832.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=131328 ns
P6A_013,/MatMul_12_myl0_167,/MatMul_12,12,MatMul,/Add_24_output_0'.1[16x1x128],shuffle_output_/Reshape_52 _ /Transpose_33_first_transpose_output.1[16x128x-1],__mye568421[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,6,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,78048 ns,19512.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=78048 ns
P6A_014,/MatMul_13_myl0_170,/MatMul_13,13,MatMul,/Softmax_6_output'.1[16x1x-1],/Expand_13_output_0'.1[16x-1x128],__myln_k_arg__bb1_2834[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,6,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,132128 ns,33032.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=132128 ns
P6A_015,/MatMul_14_myl0_192,/MatMul_14,14,MatMul,/Add_28_output_0'.1[16x1x128],shuffle_output_/Reshape_60 _ /Transpose_38_first_transpose_output.1[16x128x-1],__mye568540[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,7,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,80032 ns,20008.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=80032 ns
P6A_016,/MatMul_15_myl0_195,/MatMul_15,15,MatMul,/Softmax_7_output'.1[16x1x-1],/Expand_15_output_0'.1[16x-1x128],__myln_k_arg__bb1_2859[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,7,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,133728 ns,33432.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=133728 ns
P6A_017,/MatMul_16_myl0_217,/MatMul_16,16,MatMul,/Add_32_output_0'.1[16x1x128],shuffle_output_/Reshape_68 _ /Transpose_43_first_transpose_output.1[16x128x-1],__mye568659[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,8,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,79328 ns,19832.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=79328 ns
P6A_018,/MatMul_17_myl0_220,/MatMul_17,17,MatMul,/Softmax_8_output'.1[16x1x-1],/Expand_17_output_0'.1[16x-1x128],__mye568680[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,8,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,132800 ns,33200.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=132800 ns
P6A_019,/MatMul_18_myl0_241,/MatMul_18,18,MatMul,/Add_36_output_0'.1[16x1x128],shuffle_output_/Reshape_76 _ /Transpose_48_first_transpose_output.1[16x128x-1],__mye568778[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,9,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,83808 ns,20952.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=83808 ns
P6A_020,/MatMul_19_myl0_244,/MatMul_19,19,MatMul,/Softmax_9_output'.1[16x1x-1],/Expand_19_output_0'.1[16x-1x128],__myln_k_arg__bb1_2908[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,9,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,138784 ns,34696.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=138784 ns
P6A_021,/MatMul_20_myl0_266,/MatMul_20,20,MatMul,/Add_40_output_0'.1[16x1x128],shuffle_output_/Reshape_84 _ /Transpose_53_first_transpose_output.1[16x128x-1],__mye568897[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,10,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,97472 ns,24368.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=97472 ns
P6A_022,/MatMul_21_myl0_269,/MatMul_21,21,MatMul,/Softmax_10_output'.1[16x1x-1],/Expand_21_output_0'.1[16x-1x128],__myln_k_arg__bb1_2933[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,10,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,157056 ns,39264.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=157056 ns
P6A_023,/MatMul_22_myl0_291,/MatMul_22,22,MatMul,/Add_44_output_0'.1[16x1x128],shuffle_output_/Reshape_92 _ /Transpose_58_first_transpose_output.1[16x128x-1],__mye569016[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,11,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,98720 ns,24680.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=98720 ns
P6A_024,/MatMul_23_myl0_294,/MatMul_23,23,MatMul,/Softmax_11_output'.1[16x1x-1],/Expand_23_output_0'.1[16x-1x128],__myln_k_arg__bb1_2958[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,11,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,158784 ns,39696.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=158784 ns
P6A_025,/MatMul_24_myl0_316,/MatMul_24,24,MatMul,/Add_48_output_0'.1[16x1x128],shuffle_output_/Reshape_100 _ /Transpose_63_first_transpose_output.1[16x128x-1],__mye569135[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,12,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,97184 ns,24296.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=97184 ns
P6A_026,/MatMul_25_myl0_319,/MatMul_25,25,MatMul,/Softmax_12_output'.1[16x1x-1],/Expand_25_output_0'.1[16x-1x128],__myln_k_arg__bb1_2983[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,12,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,157792 ns,39448.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=157792 ns
P6A_027,/MatMul_26_myl0_341,/MatMul_26,26,MatMul,/Add_52_output_0'.1[16x1x128],shuffle_output_/Reshape_108 _ /Transpose_68_first_transpose_output.1[16x128x-1],__mye569254[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,13,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,98848 ns,24712.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=98848 ns
P6A_028,/MatMul_27_myl0_344,/MatMul_27,27,MatMul,/Softmax_13_output'.1[16x1x-1],/Expand_27_output_0'.1[16x-1x128],__myln_k_arg__bb1_3008[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,13,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,157984 ns,39496.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=157984 ns
P6A_029,/MatMul_28_myl0_366,/MatMul_28,28,MatMul,/Add_56_output_0'.1[16x1x128],shuffle_output_/Reshape_116 _ /Transpose_73_first_transpose_output.1[16x128x-1],__mye569373[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,14,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,99072 ns,24768.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=99072 ns
P6A_030,/MatMul_29_myl0_369,/MatMul_29,29,MatMul,/Softmax_14_output'.1[16x1x-1],/Expand_29_output_0'.1[16x-1x128],__mye569394[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,14,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,152800 ns,38200.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=152800 ns
P6A_031,/MatMul_30_myl0_390,/MatMul_30,30,MatMul,/Add_60_output_0'.1[16x1x128],shuffle_output_/Reshape_124 _ /Transpose_78_first_transpose_output.1[16x128x-1],__mye569492[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,15,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,97856 ns,24464.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=97856 ns
P6A_032,/MatMul_31_myl0_393,/MatMul_31,31,MatMul,/Softmax_15_output'.1[16x1x-1],/Expand_31_output_0'.1[16x-1x128],__myln_k_arg__bb1_3057[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,15,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,154272 ns,38568.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=154272 ns
