candidate_id,onnx_node,decoder_layer,semantic_identity,runtime_rows,calls,all_rows_total_time_ns,tactic_consistent_calls,tactic_consistent_total_time_ns,gpu_total_time_ns,all_rows_gpu_share,tactic_consistent_gpu_share,measurement_boundary,notes
P6A_019,/MatMul_18,9,QK^T,1,4,83808,4,83808,230950048,0.036288%,0.036288%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_020,/MatMul_19,9,Attention_x_V,1,4,138784,4,138784,230950048,0.060093%,0.060093%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_021,/MatMul_20,10,QK^T,1,4,97472,4,97472,230950048,0.042205%,0.042205%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_022,/MatMul_21,10,Attention_x_V,1,4,157056,4,157056,230950048,0.068004%,0.068004%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_023,/MatMul_22,11,QK^T,1,4,98720,4,98720,230950048,0.042745%,0.042745%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_024,/MatMul_23,11,Attention_x_V,1,4,158784,4,158784,230950048,0.068753%,0.068753%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_025,/MatMul_24,12,QK^T,1,4,97184,4,97184,230950048,0.042080%,0.042080%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_026,/MatMul_25,12,Attention_x_V,1,4,157792,4,157792,230950048,0.068323%,0.068323%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_027,/MatMul_26,13,QK^T,1,4,98848,4,98848,230950048,0.042801%,0.042801%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_028,/MatMul_27,13,Attention_x_V,1,4,157984,4,157984,230950048,0.068406%,0.068406%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_029,/MatMul_28,14,QK^T,1,4,99072,4,99072,230950048,0.042898%,0.042898%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_030,/MatMul_29,14,Attention_x_V,1,4,152800,4,152800,230950048,0.066161%,0.066161%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_031,/MatMul_30,15,QK^T,1,4,97856,4,97856,230950048,0.042371%,0.042371%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_032,/MatMul_31,15,Attention_x_V,1,4,154272,4,154272,230950048,0.066799%,0.066799%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_033,/MatMul_32,16,QK^T,1,4,98048,4,98048,230950048,0.042454%,0.042454%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_034,/MatMul_33,16,Attention_x_V,1,4,158144,4,158144,230950048,0.068475%,0.068475%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_035,/MatMul_34,17,QK^T,1,4,96352,4,96352,230950048,0.041720%,0.041720%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_036,/MatMul_35,17,Attention_x_V,1,4,156352,4,156352,230950048,0.067699%,0.067699%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_037,/MatMul_36,18,QK^T,1,4,98720,4,98720,230950048,0.042745%,0.042745%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_038,/MatMul_37,18,Attention_x_V,1,4,158048,4,158048,230950048,0.068434%,0.068434%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_039,/MatMul_38,19,QK^T,1,4,95936,4,95936,230950048,0.041540%,0.041540%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_040,/MatMul_39,19,Attention_x_V,1,4,158272,4,158272,230950048,0.068531%,0.068531%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_041,/MatMul_40,20,QK^T,1,4,97760,4,97760,230950048,0.042329%,0.042329%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_042,/MatMul_41,20,Attention_x_V,1,4,157024,4,157024,230950048,0.067990%,0.067990%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_043,/MatMul_42,21,QK^T,1,4,97152,4,97152,230950048,0.042066%,0.042066%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_044,/MatMul_43,21,Attention_x_V,1,4,161024,4,161024,230950048,0.069722%,0.069722%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_045,/MatMul_44,22,QK^T,1,4,105824,4,105824,230950048,0.045821%,0.045821%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_046,/MatMul_45,22,Attention_x_V,1,4,171008,4,171008,230950048,0.074045%,0.074045%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_047,/MatMul_46,23,QK^T,1,4,106240,4,106240,230950048,0.046001%,0.046001%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_048,/MatMul_47,23,Attention_x_V,1,4,171776,4,171776,230950048,0.074378%,0.074378%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_049,/MatMul_48,24,QK^T,1,4,105600,4,105600,230950048,0.045724%,0.045724%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_050,/MatMul_49,24,Attention_x_V,1,4,172032,4,172032,230950048,0.074489%,0.074489%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_051,/MatMul_50,25,QK^T,1,4,105888,4,105888,230950048,0.045849%,0.045849%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_052,/MatMul_51,25,Attention_x_V,1,4,170240,4,170240,230950048,0.073713%,0.073713%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_053,/MatMul_52,26,QK^T,1,4,105760,4,105760,230950048,0.045793%,0.045793%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_054,/MatMul_53,26,Attention_x_V,1,4,171552,4,171552,230950048,0.074281%,0.074281%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_055,/MatMul_54,27,QK^T,1,4,107456,4,107456,230950048,0.046528%,0.046528%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_056,/MatMul_55,27,Attention_x_V,1,4,170368,4,170368,230950048,0.073768%,0.073768%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
