candidate_id,semantic_identity,prefill_present,decode_present,prefill_evidence,decode_evidence,runtime_context,confidence,notes
P6A_016,Attention_x_V,YES,YES,prefill EngineInspector layer 180 _gemm_mha_v2_myl0_180,decode EngineInspector layer 195 /MatMul_15_myl0_195,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_017,QK^T,YES,YES,prefill EngineInspector layer 203 _gemm_mha_v2_myl0_203,decode EngineInspector layer 217 /MatMul_16_myl0_217,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_018,Attention_x_V,YES,YES,prefill EngineInspector layer 203 _gemm_mha_v2_myl0_203,decode EngineInspector layer 220 /MatMul_17_myl0_220,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_019,QK^T,YES,YES,prefill EngineInspector layer 225 _gemm_mha_v2_myl0_225,decode EngineInspector layer 241 /MatMul_18_myl0_241,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_020,Attention_x_V,YES,YES,prefill EngineInspector layer 225 _gemm_mha_v2_myl0_225,decode EngineInspector layer 244 /MatMul_19_myl0_244,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_021,QK^T,YES,YES,prefill EngineInspector layer 248 _gemm_mha_v2_myl0_248,decode EngineInspector layer 266 /MatMul_20_myl0_266,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_022,Attention_x_V,YES,YES,prefill EngineInspector layer 248 _gemm_mha_v2_myl0_248,decode EngineInspector layer 269 /MatMul_21_myl0_269,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_023,QK^T,YES,YES,prefill EngineInspector layer 271 _gemm_mha_v2_myl0_271,decode EngineInspector layer 291 /MatMul_22_myl0_291,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_024,Attention_x_V,YES,YES,prefill EngineInspector layer 271 _gemm_mha_v2_myl0_271,decode EngineInspector layer 294 /MatMul_23_myl0_294,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_025,QK^T,YES,YES,prefill EngineInspector layer 294 _gemm_mha_v2_myl0_294,decode EngineInspector layer 316 /MatMul_24_myl0_316,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_026,Attention_x_V,YES,YES,prefill EngineInspector layer 294 _gemm_mha_v2_myl0_294,decode EngineInspector layer 319 /MatMul_25_myl0_319,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_027,QK^T,YES,YES,prefill EngineInspector layer 317 _gemm_mha_v2_myl0_317,decode EngineInspector layer 341 /MatMul_26_myl0_341,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_028,Attention_x_V,YES,YES,prefill EngineInspector layer 317 _gemm_mha_v2_myl0_317,decode EngineInspector layer 344 /MatMul_27_myl0_344,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_029,QK^T,YES,YES,prefill EngineInspector layer 340 _gemm_mha_v2_myl0_340,decode EngineInspector layer 366 /MatMul_28_myl0_366,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_030,Attention_x_V,YES,YES,prefill EngineInspector layer 340 _gemm_mha_v2_myl0_340,decode EngineInspector layer 369 /MatMul_29_myl0_369,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_031,QK^T,YES,YES,prefill EngineInspector layer 362 _gemm_mha_v2_myl0_362,decode EngineInspector layer 390 /MatMul_30_myl0_390,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_032,Attention_x_V,YES,YES,prefill EngineInspector layer 362 _gemm_mha_v2_myl0_362,decode EngineInspector layer 393 /MatMul_31_myl0_393,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_033,QK^T,YES,YES,prefill EngineInspector layer 385 _gemm_mha_v2_myl0_385,decode EngineInspector layer 415 /MatMul_32_myl0_415,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_034,Attention_x_V,YES,YES,prefill EngineInspector layer 385 _gemm_mha_v2_myl0_385,decode EngineInspector layer 418 /MatMul_33_myl0_418,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_035,QK^T,YES,YES,prefill EngineInspector layer 408 _gemm_mha_v2_myl0_408,decode EngineInspector layer 440 /MatMul_34_myl0_440,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_036,Attention_x_V,YES,YES,prefill EngineInspector layer 408 _gemm_mha_v2_myl0_408,decode EngineInspector layer 443 /MatMul_35_myl0_443,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_037,QK^T,YES,YES,prefill EngineInspector layer 431 _gemm_mha_v2_myl0_431,decode EngineInspector layer 465 /MatMul_36_myl0_465,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_038,Attention_x_V,YES,YES,prefill EngineInspector layer 431 _gemm_mha_v2_myl0_431,decode EngineInspector layer 468 /MatMul_37_myl0_468,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_039,QK^T,YES,YES,prefill EngineInspector layer 454 _gemm_mha_v2_myl0_454,decode EngineInspector layer 490 /MatMul_38_myl0_490,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_040,Attention_x_V,YES,YES,prefill EngineInspector layer 454 _gemm_mha_v2_myl0_454,decode EngineInspector layer 493 /MatMul_39_myl0_493,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_041,QK^T,YES,YES,prefill EngineInspector layer 477 _gemm_mha_v2_myl0_477,decode EngineInspector layer 515 /MatMul_40_myl0_515,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_042,Attention_x_V,YES,YES,prefill EngineInspector layer 477 _gemm_mha_v2_myl0_477,decode EngineInspector layer 518 /MatMul_41_myl0_518,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_043,QK^T,YES,YES,prefill EngineInspector layer 500 _gemm_mha_v2_myl0_500,decode EngineInspector layer 540 /MatMul_42_myl0_540,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_044,Attention_x_V,YES,YES,prefill EngineInspector layer 500 _gemm_mha_v2_myl0_500,decode EngineInspector layer 543 /MatMul_43_myl0_543,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_045,QK^T,YES,YES,prefill EngineInspector layer 523 _gemm_mha_v2_myl0_523,decode EngineInspector layer 565 /MatMul_44_myl0_565,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_046,Attention_x_V,YES,YES,prefill EngineInspector layer 523 _gemm_mha_v2_myl0_523,decode EngineInspector layer 568 /MatMul_45_myl0_568,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_047,QK^T,YES,YES,prefill EngineInspector layer 546 _gemm_mha_v2_myl0_546,decode EngineInspector layer 590 /MatMul_46_myl0_590,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_048,Attention_x_V,YES,YES,prefill EngineInspector layer 546 _gemm_mha_v2_myl0_546,decode EngineInspector layer 593 /MatMul_47_myl0_593,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_049,QK^T,YES,YES,prefill EngineInspector layer 569 _gemm_mha_v2_myl0_569,decode EngineInspector layer 615 /MatMul_48_myl0_615,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_050,Attention_x_V,YES,YES,prefill EngineInspector layer 569 _gemm_mha_v2_myl0_569,decode EngineInspector layer 618 /MatMul_49_myl0_618,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_051,QK^T,YES,YES,prefill EngineInspector layer 592 _gemm_mha_v2_myl0_592,decode EngineInspector layer 640 /MatMul_50_myl0_640,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_052,Attention_x_V,YES,YES,prefill EngineInspector layer 592 _gemm_mha_v2_myl0_592,decode EngineInspector layer 643 /MatMul_51_myl0_643,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_053,QK^T,YES,YES,prefill EngineInspector layer 615 _gemm_mha_v2_myl0_615,decode EngineInspector layer 665 /MatMul_52_myl0_665,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_054,Attention_x_V,YES,YES,prefill EngineInspector layer 615 _gemm_mha_v2_myl0_615,decode EngineInspector layer 668 /MatMul_53_myl0_668,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_055,QK^T,YES,YES,prefill EngineInspector layer 638 _gemm_mha_v2_myl0_638,decode EngineInspector layer 690 /MatMul_54_myl0_690,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_056,Attention_x_V,YES,YES,prefill EngineInspector layer 638 _gemm_mha_v2_myl0_638,decode EngineInspector layer 693 /MatMul_55_myl0_693,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
