candidate_id,onnx_node,decoder_layer,onnx_semantic_identity,prefill_trt_layer,prefill_fusion_status,decode_trt_layer,decode_fusion_status,runtime_implementation_identity,evidence,confidence
P6A_014,/MatMul_13,6,Attention_x_V,_gemm_mha_v2_myl0_157,FUSED_INTO_gemm_mha_v2,/MatMul_13_myl0_170,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_13; decode EngineInspector metadata=/MatMul_13,HIGH
P6A_015,/MatMul_14,7,QK^T,_gemm_mha_v2_myl0_180,FUSED_INTO_gemm_mha_v2,/MatMul_14_myl0_192,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_14; decode EngineInspector metadata=/MatMul_14,HIGH
P6A_016,/MatMul_15,7,Attention_x_V,_gemm_mha_v2_myl0_180,FUSED_INTO_gemm_mha_v2,/MatMul_15_myl0_195,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_15; decode EngineInspector metadata=/MatMul_15,HIGH
P6A_017,/MatMul_16,8,QK^T,_gemm_mha_v2_myl0_203,FUSED_INTO_gemm_mha_v2,/MatMul_16_myl0_217,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_16; decode EngineInspector metadata=/MatMul_16,HIGH
P6A_018,/MatMul_17,8,Attention_x_V,_gemm_mha_v2_myl0_203,FUSED_INTO_gemm_mha_v2,/MatMul_17_myl0_220,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_17; decode EngineInspector metadata=/MatMul_17,HIGH
P6A_019,/MatMul_18,9,QK^T,_gemm_mha_v2_myl0_225,FUSED_INTO_gemm_mha_v2,/MatMul_18_myl0_241,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_18; decode EngineInspector metadata=/MatMul_18,HIGH
P6A_020,/MatMul_19,9,Attention_x_V,_gemm_mha_v2_myl0_225,FUSED_INTO_gemm_mha_v2,/MatMul_19_myl0_244,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_19; decode EngineInspector metadata=/MatMul_19,HIGH
P6A_021,/MatMul_20,10,QK^T,_gemm_mha_v2_myl0_248,FUSED_INTO_gemm_mha_v2,/MatMul_20_myl0_266,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_20; decode EngineInspector metadata=/MatMul_20,HIGH
P6A_022,/MatMul_21,10,Attention_x_V,_gemm_mha_v2_myl0_248,FUSED_INTO_gemm_mha_v2,/MatMul_21_myl0_269,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_21; decode EngineInspector metadata=/MatMul_21,HIGH
P6A_023,/MatMul_22,11,QK^T,_gemm_mha_v2_myl0_271,FUSED_INTO_gemm_mha_v2,/MatMul_22_myl0_291,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_22; decode EngineInspector metadata=/MatMul_22,HIGH
P6A_024,/MatMul_23,11,Attention_x_V,_gemm_mha_v2_myl0_271,FUSED_INTO_gemm_mha_v2,/MatMul_23_myl0_294,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_23; decode EngineInspector metadata=/MatMul_23,HIGH
P6A_025,/MatMul_24,12,QK^T,_gemm_mha_v2_myl0_294,FUSED_INTO_gemm_mha_v2,/MatMul_24_myl0_316,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_24; decode EngineInspector metadata=/MatMul_24,HIGH
P6A_026,/MatMul_25,12,Attention_x_V,_gemm_mha_v2_myl0_294,FUSED_INTO_gemm_mha_v2,/MatMul_25_myl0_319,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_25; decode EngineInspector metadata=/MatMul_25,HIGH
P6A_027,/MatMul_26,13,QK^T,_gemm_mha_v2_myl0_317,FUSED_INTO_gemm_mha_v2,/MatMul_26_myl0_341,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_26; decode EngineInspector metadata=/MatMul_26,HIGH
P6A_028,/MatMul_27,13,Attention_x_V,_gemm_mha_v2_myl0_317,FUSED_INTO_gemm_mha_v2,/MatMul_27_myl0_344,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_27; decode EngineInspector metadata=/MatMul_27,HIGH
P6A_029,/MatMul_28,14,QK^T,_gemm_mha_v2_myl0_340,FUSED_INTO_gemm_mha_v2,/MatMul_28_myl0_366,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_28; decode EngineInspector metadata=/MatMul_28,HIGH
P6A_030,/MatMul_29,14,Attention_x_V,_gemm_mha_v2_myl0_340,FUSED_INTO_gemm_mha_v2,/MatMul_29_myl0_369,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_29; decode EngineInspector metadata=/MatMul_29,HIGH
P6A_031,/MatMul_30,15,QK^T,_gemm_mha_v2_myl0_362,FUSED_INTO_gemm_mha_v2,/MatMul_30_myl0_390,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_30; decode EngineInspector metadata=/MatMul_30,HIGH
P6A_032,/MatMul_31,15,Attention_x_V,_gemm_mha_v2_myl0_362,FUSED_INTO_gemm_mha_v2,/MatMul_31_myl0_393,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_31; decode EngineInspector metadata=/MatMul_31,HIGH
P6A_033,/MatMul_32,16,QK^T,_gemm_mha_v2_myl0_385,FUSED_INTO_gemm_mha_v2,/MatMul_32_myl0_415,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_32; decode EngineInspector metadata=/MatMul_32,HIGH
P6A_034,/MatMul_33,16,Attention_x_V,_gemm_mha_v2_myl0_385,FUSED_INTO_gemm_mha_v2,/MatMul_33_myl0_418,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_33; decode EngineInspector metadata=/MatMul_33,HIGH
P6A_035,/MatMul_34,17,QK^T,_gemm_mha_v2_myl0_408,FUSED_INTO_gemm_mha_v2,/MatMul_34_myl0_440,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_34; decode EngineInspector metadata=/MatMul_34,HIGH
P6A_036,/MatMul_35,17,Attention_x_V,_gemm_mha_v2_myl0_408,FUSED_INTO_gemm_mha_v2,/MatMul_35_myl0_443,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_35; decode EngineInspector metadata=/MatMul_35,HIGH
P6A_037,/MatMul_36,18,QK^T,_gemm_mha_v2_myl0_431,FUSED_INTO_gemm_mha_v2,/MatMul_36_myl0_465,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_36; decode EngineInspector metadata=/MatMul_36,HIGH
P6A_038,/MatMul_37,18,Attention_x_V,_gemm_mha_v2_myl0_431,FUSED_INTO_gemm_mha_v2,/MatMul_37_myl0_468,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_37; decode EngineInspector metadata=/MatMul_37,HIGH
P6A_039,/MatMul_38,19,QK^T,_gemm_mha_v2_myl0_454,FUSED_INTO_gemm_mha_v2,/MatMul_38_myl0_490,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_38; decode EngineInspector metadata=/MatMul_38,HIGH
P6A_040,/MatMul_39,19,Attention_x_V,_gemm_mha_v2_myl0_454,FUSED_INTO_gemm_mha_v2,/MatMul_39_myl0_493,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_39; decode EngineInspector metadata=/MatMul_39,HIGH
P6A_041,/MatMul_40,20,QK^T,_gemm_mha_v2_myl0_477,FUSED_INTO_gemm_mha_v2,/MatMul_40_myl0_515,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_40; decode EngineInspector metadata=/MatMul_40,HIGH
P6A_042,/MatMul_41,20,Attention_x_V,_gemm_mha_v2_myl0_477,FUSED_INTO_gemm_mha_v2,/MatMul_41_myl0_518,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_41; decode EngineInspector metadata=/MatMul_41,HIGH
P6A_043,/MatMul_42,21,QK^T,_gemm_mha_v2_myl0_500,FUSED_INTO_gemm_mha_v2,/MatMul_42_myl0_540,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_42; decode EngineInspector metadata=/MatMul_42,HIGH
P6A_044,/MatMul_43,21,Attention_x_V,_gemm_mha_v2_myl0_500,FUSED_INTO_gemm_mha_v2,/MatMul_43_myl0_543,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_43; decode EngineInspector metadata=/MatMul_43,HIGH
P6A_045,/MatMul_44,22,QK^T,_gemm_mha_v2_myl0_523,FUSED_INTO_gemm_mha_v2,/MatMul_44_myl0_565,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_44; decode EngineInspector metadata=/MatMul_44,HIGH
P6A_046,/MatMul_45,22,Attention_x_V,_gemm_mha_v2_myl0_523,FUSED_INTO_gemm_mha_v2,/MatMul_45_myl0_568,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_45; decode EngineInspector metadata=/MatMul_45,HIGH
P6A_047,/MatMul_46,23,QK^T,_gemm_mha_v2_myl0_546,FUSED_INTO_gemm_mha_v2,/MatMul_46_myl0_590,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_46; decode EngineInspector metadata=/MatMul_46,HIGH
P6A_048,/MatMul_47,23,Attention_x_V,_gemm_mha_v2_myl0_546,FUSED_INTO_gemm_mha_v2,/MatMul_47_myl0_593,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_47; decode EngineInspector metadata=/MatMul_47,HIGH
P6A_049,/MatMul_48,24,QK^T,_gemm_mha_v2_myl0_569,FUSED_INTO_gemm_mha_v2,/MatMul_48_myl0_615,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_48; decode EngineInspector metadata=/MatMul_48,HIGH
P6A_050,/MatMul_49,24,Attention_x_V,_gemm_mha_v2_myl0_569,FUSED_INTO_gemm_mha_v2,/MatMul_49_myl0_618,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_49; decode EngineInspector metadata=/MatMul_49,HIGH
P6A_051,/MatMul_50,25,QK^T,_gemm_mha_v2_myl0_592,FUSED_INTO_gemm_mha_v2,/MatMul_50_myl0_640,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_50; decode EngineInspector metadata=/MatMul_50,HIGH
P6A_052,/MatMul_51,25,Attention_x_V,_gemm_mha_v2_myl0_592,FUSED_INTO_gemm_mha_v2,/MatMul_51_myl0_643,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_51; decode EngineInspector metadata=/MatMul_51,HIGH
P6A_053,/MatMul_52,26,QK^T,_gemm_mha_v2_myl0_615,FUSED_INTO_gemm_mha_v2,/MatMul_52_myl0_665,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_52; decode EngineInspector metadata=/MatMul_52,HIGH
P6A_054,/MatMul_53,26,Attention_x_V,_gemm_mha_v2_myl0_615,FUSED_INTO_gemm_mha_v2,/MatMul_53_myl0_668,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_53; decode EngineInspector metadata=/MatMul_53,HIGH
P6A_055,/MatMul_54,27,QK^T,_gemm_mha_v2_myl0_638,FUSED_INTO_gemm_mha_v2,/MatMul_54_myl0_690,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_54; decode EngineInspector metadata=/MatMul_54,HIGH
P6A_056,/MatMul_55,27,Attention_x_V,_gemm_mha_v2_myl0_638,FUSED_INTO_gemm_mha_v2,/MatMul_55_myl0_693,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_55; decode EngineInspector metadata=/MatMul_55,HIGH
