engine,operator,operator_kind,matrix_m,matrix_n,matrix_k,precision,tactic,frequency,layer_indices,mapping_evidence
fp16_prefill,L4:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,86,ENGINE_INSPECTOR_METADATA
fp16_prefill,L4:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,100,ENGINE_INSPECTOR_METADATA
fp16_prefill,L4:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,102,ENGINE_INSPECTOR_METADATA
fp16_prefill,L5:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,108,ENGINE_INSPECTOR_METADATA
fp16_prefill,L5:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,122,ENGINE_INSPECTOR_METADATA
fp16_prefill,L5:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,124,ENGINE_INSPECTOR_METADATA
fp16_prefill,L6:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,130,ENGINE_INSPECTOR_METADATA
fp16_prefill,L6:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,144,ENGINE_INSPECTOR_METADATA
fp16_prefill,L6:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,146,ENGINE_INSPECTOR_METADATA
fp16_prefill,L7:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,152,ENGINE_INSPECTOR_METADATA
fp16_prefill,L7:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,166,ENGINE_INSPECTOR_METADATA
fp16_prefill,L7:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,168,ENGINE_INSPECTOR_METADATA
fp16_prefill,L8:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,174,ENGINE_INSPECTOR_METADATA
fp16_prefill,L8:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,188,ENGINE_INSPECTOR_METADATA
fp16_prefill,L8:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,190,ENGINE_INSPECTOR_METADATA
fp16_prefill,L9:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,196,ENGINE_INSPECTOR_METADATA
fp16_prefill,L9:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,210,ENGINE_INSPECTOR_METADATA
fp16_prefill,L9:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,212,ENGINE_INSPECTOR_METADATA
fp16_prefill,L10:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,218,ENGINE_INSPECTOR_METADATA
fp16_prefill,L10:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,232,ENGINE_INSPECTOR_METADATA
fp16_prefill,L10:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,234,ENGINE_INSPECTOR_METADATA
fp16_prefill,L11:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,240,ENGINE_INSPECTOR_METADATA
fp16_prefill,L11:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,254,ENGINE_INSPECTOR_METADATA
fp16_prefill,L11:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,256,ENGINE_INSPECTOR_METADATA
fp16_prefill,L12:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,262,ENGINE_INSPECTOR_METADATA
fp16_prefill,L12:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,276,ENGINE_INSPECTOR_METADATA
fp16_prefill,L12:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,278,ENGINE_INSPECTOR_METADATA
fp16_prefill,L13:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,284,ENGINE_INSPECTOR_METADATA
fp16_prefill,L13:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,298,ENGINE_INSPECTOR_METADATA
fp16_prefill,L13:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,300,ENGINE_INSPECTOR_METADATA
fp16_prefill,L14:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,306,ENGINE_INSPECTOR_METADATA
fp16_prefill,L14:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,320,ENGINE_INSPECTOR_METADATA
fp16_prefill,L14:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,322,ENGINE_INSPECTOR_METADATA
fp16_prefill,L15:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,328,ENGINE_INSPECTOR_METADATA
fp16_prefill,L15:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,342,ENGINE_INSPECTOR_METADATA
fp16_prefill,L15:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,344,ENGINE_INSPECTOR_METADATA
fp16_prefill,L16:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,350,ENGINE_INSPECTOR_METADATA
fp16_prefill,L16:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,364,ENGINE_INSPECTOR_METADATA
fp16_prefill,L16:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,366,ENGINE_INSPECTOR_METADATA
fp16_prefill,L17:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,372,ENGINE_INSPECTOR_METADATA
fp16_prefill,L17:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,386,ENGINE_INSPECTOR_METADATA
fp16_prefill,L17:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,388,ENGINE_INSPECTOR_METADATA
fp16_prefill,L18:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,394,ENGINE_INSPECTOR_METADATA
fp16_prefill,L18:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,408,ENGINE_INSPECTOR_METADATA
fp16_prefill,L18:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,410,ENGINE_INSPECTOR_METADATA
fp16_prefill,L19:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,416,ENGINE_INSPECTOR_METADATA
fp16_prefill,L19:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,430,ENGINE_INSPECTOR_METADATA
fp16_prefill,L19:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,432,ENGINE_INSPECTOR_METADATA
fp16_prefill,L20:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,438,ENGINE_INSPECTOR_METADATA
fp16_prefill,L20:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,452,ENGINE_INSPECTOR_METADATA
fp16_prefill,L20:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,454,ENGINE_INSPECTOR_METADATA
fp16_prefill,L21:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,460,ENGINE_INSPECTOR_METADATA
fp16_prefill,L21:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,474,ENGINE_INSPECTOR_METADATA
fp16_prefill,L21:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,476,ENGINE_INSPECTOR_METADATA
fp16_prefill,L22:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,482,ENGINE_INSPECTOR_METADATA
fp16_prefill,L22:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,496,ENGINE_INSPECTOR_METADATA
fp16_prefill,L22:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,498,ENGINE_INSPECTOR_METADATA
fp16_prefill,L23:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,504,ENGINE_INSPECTOR_METADATA
fp16_prefill,L23:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,518,ENGINE_INSPECTOR_METADATA
fp16_prefill,L23:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,520,ENGINE_INSPECTOR_METADATA
fp16_prefill,L24:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,526,ENGINE_INSPECTOR_METADATA
fp16_prefill,L24:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,540,ENGINE_INSPECTOR_METADATA
fp16_prefill,L24:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,542,ENGINE_INSPECTOR_METADATA
fp16_prefill,L25:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,548,ENGINE_INSPECTOR_METADATA
fp16_prefill,L25:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,562,ENGINE_INSPECTOR_METADATA
fp16_prefill,L25:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,564,ENGINE_INSPECTOR_METADATA
fp16_prefill,L26:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,570,ENGINE_INSPECTOR_METADATA
fp16_prefill,L26:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,584,ENGINE_INSPECTOR_METADATA
fp16_prefill,L26:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,586,ENGINE_INSPECTOR_METADATA
fp16_prefill,L27:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,592,ENGINE_INSPECTOR_METADATA
fp16_prefill,L27:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,606,ENGINE_INSPECTOR_METADATA
fp16_prefill,L27:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,608,ENGINE_INSPECTOR_METADATA
fp16_decode,L0:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,2,ENGINE_INSPECTOR_METADATA
fp16_decode,L0:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,10,ENGINE_INSPECTOR_METADATA
fp16_decode,L0:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,12,ENGINE_INSPECTOR_METADATA
fp16_decode,L1:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,16,ENGINE_INSPECTOR_METADATA
fp16_decode,L1:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,25,ENGINE_INSPECTOR_METADATA
fp16_decode,L1:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,27,ENGINE_INSPECTOR_METADATA
fp16_decode,L2:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,31,ENGINE_INSPECTOR_METADATA
fp16_decode,L2:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,40,ENGINE_INSPECTOR_METADATA
fp16_decode,L2:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,42,ENGINE_INSPECTOR_METADATA
fp16_decode,L3:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,46,ENGINE_INSPECTOR_METADATA
fp16_decode,L3:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,55,ENGINE_INSPECTOR_METADATA
fp16_decode,L3:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,57,ENGINE_INSPECTOR_METADATA
fp16_decode,L4:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,61,ENGINE_INSPECTOR_METADATA
fp16_decode,L4:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,70,ENGINE_INSPECTOR_METADATA
fp16_decode,L4:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,72,ENGINE_INSPECTOR_METADATA
fp16_decode,L5:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,76,ENGINE_INSPECTOR_METADATA
fp16_decode,L5:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,85,ENGINE_INSPECTOR_METADATA
fp16_decode,L5:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,87,ENGINE_INSPECTOR_METADATA
fp16_decode,L6:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,91,ENGINE_INSPECTOR_METADATA
fp16_decode,L6:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,100,ENGINE_INSPECTOR_METADATA
fp16_decode,L6:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,102,ENGINE_INSPECTOR_METADATA
fp16_decode,L7:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,106,ENGINE_INSPECTOR_METADATA
fp16_decode,L7:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,115,ENGINE_INSPECTOR_METADATA
fp16_decode,L7:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,117,ENGINE_INSPECTOR_METADATA
fp16_decode,L8:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,121,ENGINE_INSPECTOR_METADATA
fp16_decode,L8:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,130,ENGINE_INSPECTOR_METADATA
fp16_decode,L8:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,132,ENGINE_INSPECTOR_METADATA
fp16_decode,L9:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,136,ENGINE_INSPECTOR_METADATA
fp16_decode,L9:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,1,145,ENGINE_INSPECTOR_METADATA
