engine,layer_index,operator,operator_kind,matrix_m,matrix_n,matrix_k,precision,tactic,input_shapes,output_shapes,onnx_layers,mapping_evidence
fp16_prefill,146,L6:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_6/MatMul_myl0_146,ENGINE_INSPECTOR_METADATA
fp16_prefill,152,L7:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_7/MatMul+/k_proj_7/MatMul+/q_proj_7/MatMul_myl0_152,ENGINE_INSPECTOR_METADATA
fp16_prefill,166,L7:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_7/MatMul_myl0_166,ENGINE_INSPECTOR_METADATA
fp16_prefill,168,L7:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_7/MatMul_myl0_168,ENGINE_INSPECTOR_METADATA
fp16_prefill,174,L8:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_8/MatMul+/k_proj_8/MatMul+/q_proj_8/MatMul_myl0_174,ENGINE_INSPECTOR_METADATA
fp16_prefill,188,L8:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_8/MatMul_myl0_188,ENGINE_INSPECTOR_METADATA
fp16_prefill,190,L8:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_8/MatMul_myl0_190,ENGINE_INSPECTOR_METADATA
fp16_prefill,196,L9:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_9/MatMul+/k_proj_9/MatMul+/q_proj_9/MatMul_myl0_196,ENGINE_INSPECTOR_METADATA
fp16_prefill,210,L9:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_9/MatMul_myl0_210,ENGINE_INSPECTOR_METADATA
fp16_prefill,212,L9:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_9/MatMul_myl0_212,ENGINE_INSPECTOR_METADATA
fp16_prefill,218,L10:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_10/MatMul+/k_proj_10/MatMul+/q_proj_10/MatMul_myl0_218,ENGINE_INSPECTOR_METADATA
fp16_prefill,232,L10:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_10/MatMul_myl0_232,ENGINE_INSPECTOR_METADATA
fp16_prefill,234,L10:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_10/MatMul_myl0_234,ENGINE_INSPECTOR_METADATA
fp16_prefill,240,L11:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_11/MatMul+/k_proj_11/MatMul+/q_proj_11/MatMul_myl0_240,ENGINE_INSPECTOR_METADATA
fp16_prefill,254,L11:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_11/MatMul_myl0_254,ENGINE_INSPECTOR_METADATA
fp16_prefill,256,L11:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_11/MatMul_myl0_256,ENGINE_INSPECTOR_METADATA
fp16_prefill,262,L12:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_12/MatMul+/k_proj_12/MatMul+/q_proj_12/MatMul_myl0_262,ENGINE_INSPECTOR_METADATA
fp16_prefill,276,L12:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_12/MatMul_myl0_276,ENGINE_INSPECTOR_METADATA
fp16_prefill,278,L12:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_12/MatMul_myl0_278,ENGINE_INSPECTOR_METADATA
fp16_prefill,284,L13:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_13/MatMul+/k_proj_13/MatMul+/q_proj_13/MatMul_myl0_284,ENGINE_INSPECTOR_METADATA
fp16_prefill,298,L13:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_13/MatMul_myl0_298,ENGINE_INSPECTOR_METADATA
fp16_prefill,300,L13:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_13/MatMul_myl0_300,ENGINE_INSPECTOR_METADATA
fp16_prefill,306,L14:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_14/MatMul+/k_proj_14/MatMul+/q_proj_14/MatMul_myl0_306,ENGINE_INSPECTOR_METADATA
fp16_prefill,320,L14:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_14/MatMul_myl0_320,ENGINE_INSPECTOR_METADATA
fp16_prefill,322,L14:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_14/MatMul_myl0_322,ENGINE_INSPECTOR_METADATA
fp16_prefill,328,L15:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_15/MatMul+/k_proj_15/MatMul+/q_proj_15/MatMul_myl0_328,ENGINE_INSPECTOR_METADATA
fp16_prefill,342,L15:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_15/MatMul_myl0_342,ENGINE_INSPECTOR_METADATA
fp16_prefill,344,L15:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_15/MatMul_myl0_344,ENGINE_INSPECTOR_METADATA
fp16_prefill,350,L16:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_16/MatMul+/k_proj_16/MatMul+/q_proj_16/MatMul_myl0_350,ENGINE_INSPECTOR_METADATA
fp16_prefill,364,L16:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_16/MatMul_myl0_364,ENGINE_INSPECTOR_METADATA
fp16_prefill,366,L16:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_16/MatMul_myl0_366,ENGINE_INSPECTOR_METADATA
fp16_prefill,372,L17:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_17/MatMul+/k_proj_17/MatMul+/q_proj_17/MatMul_myl0_372,ENGINE_INSPECTOR_METADATA
fp16_prefill,386,L17:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_17/MatMul_myl0_386,ENGINE_INSPECTOR_METADATA
fp16_prefill,388,L17:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_17/MatMul_myl0_388,ENGINE_INSPECTOR_METADATA
fp16_prefill,394,L18:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_18/MatMul+/k_proj_18/MatMul+/q_proj_18/MatMul_myl0_394,ENGINE_INSPECTOR_METADATA
fp16_prefill,408,L18:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_18/MatMul_myl0_408,ENGINE_INSPECTOR_METADATA
fp16_prefill,410,L18:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_18/MatMul_myl0_410,ENGINE_INSPECTOR_METADATA
fp16_prefill,416,L19:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_19/MatMul+/k_proj_19/MatMul+/q_proj_19/MatMul_myl0_416,ENGINE_INSPECTOR_METADATA
fp16_prefill,430,L19:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_19/MatMul_myl0_430,ENGINE_INSPECTOR_METADATA
fp16_prefill,432,L19:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_19/MatMul_myl0_432,ENGINE_INSPECTOR_METADATA
fp16_prefill,438,L20:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_20/MatMul+/k_proj_20/MatMul+/q_proj_20/MatMul_myl0_438,ENGINE_INSPECTOR_METADATA
fp16_prefill,452,L20:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_20/MatMul_myl0_452,ENGINE_INSPECTOR_METADATA
fp16_prefill,454,L20:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_20/MatMul_myl0_454,ENGINE_INSPECTOR_METADATA
fp16_prefill,460,L21:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_21/MatMul+/k_proj_21/MatMul+/q_proj_21/MatMul_myl0_460,ENGINE_INSPECTOR_METADATA
fp16_prefill,474,L21:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_21/MatMul_myl0_474,ENGINE_INSPECTOR_METADATA
fp16_prefill,476,L21:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_21/MatMul_myl0_476,ENGINE_INSPECTOR_METADATA
fp16_prefill,482,L22:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_22/MatMul+/k_proj_22/MatMul+/q_proj_22/MatMul_myl0_482,ENGINE_INSPECTOR_METADATA
fp16_prefill,496,L22:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_22/MatMul_myl0_496,ENGINE_INSPECTOR_METADATA
fp16_prefill,498,L22:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_22/MatMul_myl0_498,ENGINE_INSPECTOR_METADATA
fp16_prefill,504,L23:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_23/MatMul+/k_proj_23/MatMul+/q_proj_23/MatMul_myl0_504,ENGINE_INSPECTOR_METADATA
fp16_prefill,518,L23:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_23/MatMul_myl0_518,ENGINE_INSPECTOR_METADATA
fp16_prefill,520,L23:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_23/MatMul_myl0_520,ENGINE_INSPECTOR_METADATA
fp16_prefill,526,L24:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_24/MatMul+/k_proj_24/MatMul+/q_proj_24/MatMul_myl0_526,ENGINE_INSPECTOR_METADATA
fp16_prefill,540,L24:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_24/MatMul_myl0_540,ENGINE_INSPECTOR_METADATA
fp16_prefill,542,L24:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_24/MatMul_myl0_542,ENGINE_INSPECTOR_METADATA
fp16_prefill,548,L25:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_25/MatMul+/k_proj_25/MatMul+/q_proj_25/MatMul_myl0_548,ENGINE_INSPECTOR_METADATA
fp16_prefill,562,L25:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_25/MatMul_myl0_562,ENGINE_INSPECTOR_METADATA
fp16_prefill,564,L25:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_25/MatMul_myl0_564,ENGINE_INSPECTOR_METADATA
fp16_prefill,570,L26:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_26/MatMul+/k_proj_26/MatMul+/q_proj_26/MatMul_myl0_570,ENGINE_INSPECTOR_METADATA
fp16_prefill,584,L26:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_26/MatMul_myl0_584,ENGINE_INSPECTOR_METADATA
fp16_prefill,586,L26:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_26/MatMul_myl0_586,ENGINE_INSPECTOR_METADATA
fp16_prefill,592,L27:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_27/MatMul+/k_proj_27/MatMul+/q_proj_27/MatMul_myl0_592,ENGINE_INSPECTOR_METADATA
fp16_prefill,606,L27:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_27/MatMul_myl0_606,ENGINE_INSPECTOR_METADATA
fp16_prefill,608,L27:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_27/MatMul_myl0_608,ENGINE_INSPECTOR_METADATA
fp16_decode,2,L0:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul_myl0_2,ENGINE_INSPECTOR_METADATA
fp16_decode,10,L0:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/o_proj/MatMul_myl0_10,ENGINE_INSPECTOR_METADATA
fp16_decode,12,L0:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj/MatMul_myl0_12,ENGINE_INSPECTOR_METADATA
fp16_decode,16,L1:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul_myl0_16,ENGINE_INSPECTOR_METADATA
fp16_decode,25,L1:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/o_proj_1/MatMul_myl0_25,ENGINE_INSPECTOR_METADATA
fp16_decode,27,L1:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_1/MatMul_myl0_27,ENGINE_INSPECTOR_METADATA
fp16_decode,31,L2:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_31,ENGINE_INSPECTOR_METADATA
fp16_decode,40,L2:o_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/o_proj_2/MatMul_myl0_40,ENGINE_INSPECTOR_METADATA
