engine,layer_index,layer_name,layer_type,operator,operator_kind,category,tactic,input_shapes,input_precisions,output_shapes,output_precisions,onnx_layers
fp16_prefill,10,__myl_MulMeaAddSqrDivMulMul_myl0_10,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,11,__mye624489_myl0_11,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624489_myl0_11
fp16_prefill,12,/gate_proj/MatMul_myl0_12,,L0:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj/MatMul_myl0_12
fp16_prefill,13,__mye624491_myl0_13,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624491_myl0_13
fp16_prefill,14,/up_proj/MatMul_myl0_14,,L0:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj/MatMul_myl0_14
fp16_prefill,15,__mye624493_myl0_15,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624493_myl0_15
fp16_prefill,16,__mye624495_myl0_16,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624495_myl0_16
fp16_prefill,17,__myl_NegExpAddDivMulMul_myl0_17,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,18,__myl_FcAdd_myl0_18,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,19,__myl_MulMeaAddSqrDivMulMul_myl0_19,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,20,/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul_myl0_20,,L1:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul_myl0_20
fp16_prefill,21,__mye624497_myl0_21,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624497_myl0_21
fp16_prefill,22,__myl_ResTraResSliRepRes_myl0_22,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,23,__mye624499_myl0_23,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624499_myl0_23
fp16_prefill,24,__myl_ResMulMea_myl0_24,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,25,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_myl0_25,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,26,__mye624501_myl0_26,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624501_myl0_26
fp16_prefill,27,__myl_ResMulMea_myl0_27,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,28,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_myl0_28,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,29,__mye624503_myl0_29,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624503_myl0_29
fp16_prefill,30,_gemm_mha_v2_myl0_30,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_30
fp16_prefill,31,__myl_FcAdd_myl0_31,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,32,__myl_MulMeaAddSqrDivMulMul_myl0_32,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,33,__mye624505_myl0_33,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624505_myl0_33
fp16_prefill,34,/gate_proj_1/MatMul_myl0_34,,L1:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj_1/MatMul_myl0_34
fp16_prefill,35,__mye624507_myl0_35,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624507_myl0_35
fp16_prefill,36,/up_proj_1/MatMul_myl0_36,,L1:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj_1/MatMul_myl0_36
fp16_prefill,37,__mye624509_myl0_37,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624509_myl0_37
fp16_prefill,38,__mye624511_myl0_38,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624511_myl0_38
fp16_prefill,39,__myl_NegExpAddDivMulMul_myl0_39,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,40,__myl_FcAdd_myl0_40,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,41,__myl_MulMeaAddSqrDivMulMul_myl0_41,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,42,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_42,,L2:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_42
fp16_prefill,43,__mye624513_myl0_43,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624513_myl0_43
fp16_prefill,44,__myl_ResTraResSliRepRes_myl0_44,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,45,__mye624515_myl0_45,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624515_myl0_45
fp16_prefill,46,__myl_ResMulMea_myl0_46,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,47,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_myl0_47,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,48,__mye624517_myl0_48,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624517_myl0_48
fp16_prefill,49,__myl_ResMulMea_myl0_49,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,50,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_myl0_50,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,51,__mye624519_myl0_51,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624519_myl0_51
fp16_prefill,52,_gemm_mha_v2_myl0_52,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_52
fp16_prefill,53,__myl_FcAdd_myl0_53,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,54,__myl_MulMeaAddSqrDivMulMul_myl0_54,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,55,__mye624521_myl0_55,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624521_myl0_55
fp16_prefill,56,/gate_proj_2/MatMul_myl0_56,,L2:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj_2/MatMul_myl0_56
fp16_prefill,57,__mye624523_myl0_57,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624523_myl0_57
fp16_prefill,58,/up_proj_2/MatMul_myl0_58,,L2:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj_2/MatMul_myl0_58
fp16_prefill,59,__mye624525_myl0_59,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624525_myl0_59
fp16_prefill,60,__mye624527_myl0_60,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624527_myl0_60
fp16_prefill,61,__myl_NegExpAddDivMulMul_myl0_61,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,62,__myl_FcAdd_myl0_62,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,63,__myl_MulMeaAddSqrDivMulMul_myl0_63,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,64,/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul_myl0_64,,L3:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul_myl0_64
fp16_prefill,65,__mye624529_myl0_65,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624529_myl0_65
fp16_prefill,66,__myl_ResTraResSliRepRes_myl0_66,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,67,__mye624531_myl0_67,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624531_myl0_67
fp16_prefill,68,__myl_ResMulMea_myl0_68,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,69,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_myl0_69,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,70,__mye624533_myl0_70,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624533_myl0_70
fp16_prefill,71,__myl_ResMulMea_myl0_71,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,72,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_myl0_72,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,73,__mye624535_myl0_73,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624535_myl0_73
fp16_prefill,74,_gemm_mha_v2_myl0_74,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_74
fp16_prefill,75,__myl_FcAdd_myl0_75,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,76,__myl_MulMeaAddSqrDivMulMul_myl0_76,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,77,__mye624537_myl0_77,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624537_myl0_77
fp16_prefill,78,/gate_proj_3/MatMul_myl0_78,,L3:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj_3/MatMul_myl0_78
fp16_prefill,79,__mye624539_myl0_79,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624539_myl0_79
fp16_prefill,80,/up_proj_3/MatMul_myl0_80,,L3:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj_3/MatMul_myl0_80
fp16_prefill,81,__mye624541_myl0_81,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624541_myl0_81
fp16_prefill,82,__mye624543_myl0_82,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624543_myl0_82
fp16_prefill,83,__myl_NegExpAddDivMulMul_myl0_83,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,84,__myl_FcAdd_myl0_84,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,85,__myl_MulMeaAddSqrDivMulMul_myl0_85,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,86,/v_proj_4/MatMul+/k_proj_4/MatMul+/q_proj_4/MatMul_myl0_86,,L4:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj_4/MatMul+/k_proj_4/MatMul+/q_proj_4/MatMul_myl0_86
fp16_prefill,87,__mye624545_myl0_87,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624545_myl0_87
fp16_prefill,88,__myl_ResTraResSliRepRes_myl0_88,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,89,__mye624547_myl0_89,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624547_myl0_89
fp16_prefill,90,__myl_ResMulMea_myl0_90,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,91,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_myl0_91,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,92,__mye624549_myl0_92,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624549_myl0_92
fp16_prefill,93,__myl_ResMulMea_myl0_93,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,94,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_myl0_94,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,95,__mye624551_myl0_95,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624551_myl0_95
fp16_prefill,96,_gemm_mha_v2_myl0_96,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_96
fp16_prefill,97,__myl_FcAdd_myl0_97,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,98,__myl_MulMeaAddSqrDivMulMul_myl0_98,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,99,__mye624553_myl0_99,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624553_myl0_99
fp16_prefill,100,/gate_proj_4/MatMul_myl0_100,,L4:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj_4/MatMul_myl0_100
fp16_prefill,101,__mye624555_myl0_101,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624555_myl0_101
fp16_prefill,102,/up_proj_4/MatMul_myl0_102,,L4:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj_4/MatMul_myl0_102
fp16_prefill,103,__mye624557_myl0_103,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624557_myl0_103
fp16_prefill,104,__mye624559_myl0_104,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624559_myl0_104
fp16_prefill,105,__myl_NegExpAddDivMulMul_myl0_105,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,106,__myl_FcAdd_myl0_106,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,107,__myl_MulMeaAddSqrDivMulMul_myl0_107,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,108,/v_proj_5/MatMul+/k_proj_5/MatMul+/q_proj_5/MatMul_myl0_108,,L5:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj_5/MatMul+/k_proj_5/MatMul+/q_proj_5/MatMul_myl0_108
fp16_prefill,109,__mye624561_myl0_109,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624561_myl0_109
fp16_prefill,110,__myl_ResTraResSliRepRes_myl0_110,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,111,__mye624563_myl0_111,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624563_myl0_111
fp16_prefill,112,__myl_ResMulMea_myl0_112,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,113,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_myl0_113,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,114,__mye624565_myl0_114,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624565_myl0_114
fp16_prefill,115,__myl_ResMulMea_myl0_115,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,116,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_myl0_116,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,117,__mye624567_myl0_117,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624567_myl0_117
fp16_prefill,118,_gemm_mha_v2_myl0_118,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_118
fp16_prefill,119,__myl_FcAdd_myl0_119,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,120,__myl_MulMeaAddSqrDivMulMul_myl0_120,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,121,__mye624569_myl0_121,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624569_myl0_121
fp16_prefill,122,/gate_proj_5/MatMul_myl0_122,,L5:gate_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/gate_proj_5/MatMul_myl0_122
fp16_prefill,123,__mye624571_myl0_123,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624571_myl0_123
fp16_prefill,124,/up_proj_5/MatMul_myl0_124,,L5:up_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/up_proj_5/MatMul_myl0_124
fp16_prefill,125,__mye624573_myl0_125,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624573_myl0_125
fp16_prefill,126,__mye624575_myl0_126,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye624575_myl0_126
