node_index,node_name,op_type,inputs,outputs,shape,initializer_relationship
78,/v_proj/MatMul,MatMul,/v_proj/MatMul__a_dq;onnx::MatMul_7537__dq,/v_proj/MatMul_output_0,UNKNOWN,NONE
79,/Reshape_2,Reshape,/v_proj/MatMul_output_0;/Concat_2_output_0,/Reshape_2_output_0,UNKNOWN,NONE
80,/Transpose_2,Transpose,/Reshape_2_output_0,/Transpose_2_output_0,UNKNOWN,NONE
81,/Cast,Cast,position_ids,/Cast_output_0,UNKNOWN,NONE
82,/Constant_8,Constant,NONE,/Constant_8_output_0,UNKNOWN,NONE
83,/Unsqueeze_6,Unsqueeze,/Cast_output_0;/Constant_8_output_0,/Unsqueeze_6_output_0,UNKNOWN,NONE
84,/Constant_9,Constant,NONE,/Constant_9_output_0,UNKNOWN,NONE
85,/Mul,Mul,/Unsqueeze_6_output_0;/Constant_9_output_0,/Mul_output_0,UNKNOWN,NONE
86,/Concat_3,Concat,/Mul_output_0;/Mul_output_0,/Concat_3_output_0,UNKNOWN,NONE
87,/Cos,Cos,/Concat_3_output_0,/Cos_output_0,UNKNOWN,NONE
88,/Constant_10,Constant,NONE,/Constant_10_output_0,UNKNOWN,NONE
89,/Unsqueeze_7,Unsqueeze,/Cos_output_0;/Constant_10_output_0,/Unsqueeze_7_output_0,UNKNOWN,NONE
90,/Cast_1,Cast,/Unsqueeze_7_output_0,/Cast_1_output_0,UNKNOWN,NONE
91,/Sin,Sin,/Concat_3_output_0,/Sin_output_0,UNKNOWN,NONE
92,/Constant_11,Constant,NONE,/Constant_11_output_0,UNKNOWN,NONE
93,/Unsqueeze_8,Unsqueeze,/Sin_output_0;/Constant_11_output_0,/Unsqueeze_8_output_0,UNKNOWN,NONE
94,/Cast_2,Cast,/Unsqueeze_8_output_0,/Cast_2_output_0,UNKNOWN,NONE
95,/Shape_2,Shape,/Transpose_output_0,/Shape_2_output_0,UNKNOWN,NONE
96,/Constant_12,Constant,NONE,/Constant_12_output_0,UNKNOWN,NONE
97,/Gather_2,Gather,/Shape_2_output_0;/Constant_12_output_0,/Gather_2_output_0,UNKNOWN,NONE
98,/Constant_13,Constant,NONE,/Constant_13_output_0,UNKNOWN,NONE
99,/Div,Div,/Gather_2_output_0;/Constant_13_output_0,/Div_output_0,UNKNOWN,NONE
100,/Cast_3,Cast,/Div_output_0,/Cast_3_output_0,UNKNOWN,NONE
101,/Cast_4,Cast,/Cast_3_output_0,/Cast_4_output_0,UNKNOWN,NONE
102,/Constant_14,Constant,NONE,/Constant_14_output_0,UNKNOWN,NONE
103,/Constant_15,Constant,NONE,/Constant_15_output_0,UNKNOWN,NONE
104,/Unsqueeze_9,Unsqueeze,/Cast_4_output_0;/Constant_15_output_0,/Unsqueeze_9_output_0,UNKNOWN,NONE
105,/Constant_16,Constant,NONE,/Constant_16_output_0,UNKNOWN,NONE
106,/Constant_17,Constant,NONE,/Constant_17_output_0,UNKNOWN,NONE
107,/Slice,Slice,/Transpose_output_0;/Unsqueeze_9_output_0;/Constant_16_output_0;/Constant_14_output_0;/Constant_17_output_0,/Slice_output_0,UNKNOWN,NONE
108,/Neg,Neg,/Slice_output_0,/Neg_output_0,UNKNOWN,NONE
109,/Constant_18,Constant,NONE,/Constant_18_output_0,UNKNOWN,NONE
110,/Constant_19,Constant,NONE,/Constant_19_output_0,UNKNOWN,NONE
111,/Constant_20,Constant,NONE,/Constant_20_output_0,UNKNOWN,NONE
112,/Unsqueeze_10,Unsqueeze,/Cast_4_output_0;/Constant_20_output_0,/Unsqueeze_10_output_0,UNKNOWN,NONE
113,/Constant_21,Constant,NONE,/Constant_21_output_0,UNKNOWN,NONE
114,/Slice_1,Slice,/Transpose_output_0;/Constant_19_output_0;/Unsqueeze_10_output_0;/Constant_18_output_0;/Constant_21_output_0,/Slice_1_output_0,UNKNOWN,NONE
115,/Concat_4,Concat,/Neg_output_0;/Slice_1_output_0,/Concat_4_output_0,UNKNOWN,NONE
116,/Mul_1,Mul,/Transpose_output_0;/Cast_1_output_0,/Mul_1_output_0,UNKNOWN,NONE
117,/Mul_2,Mul,/Concat_4_output_0;/Cast_2_output_0,/Mul_2_output_0,UNKNOWN,NONE
118,/Add,Add,/Mul_1_output_0;/Mul_2_output_0,/Add_output_0,UNKNOWN,NONE
119,/Shape_3,Shape,/Transpose_1_output_0,/Shape_3_output_0,UNKNOWN,NONE
120,/Constant_22,Constant,NONE,/Constant_22_output_0,UNKNOWN,NONE
121,/Gather_3,Gather,/Shape_3_output_0;/Constant_22_output_0,/Gather_3_output_0,UNKNOWN,NONE
122,/Constant_23,Constant,NONE,/Constant_23_output_0,UNKNOWN,NONE
123,/Div_1,Div,/Gather_3_output_0;/Constant_23_output_0,/Div_1_output_0,UNKNOWN,NONE
124,/Cast_5,Cast,/Div_1_output_0,/Cast_5_output_0,UNKNOWN,NONE
125,/Cast_6,Cast,/Cast_5_output_0,/Cast_6_output_0,UNKNOWN,NONE
126,/Constant_24,Constant,NONE,/Constant_24_output_0,UNKNOWN,NONE
127,/Constant_25,Constant,NONE,/Constant_25_output_0,UNKNOWN,NONE
128,/Unsqueeze_11,Unsqueeze,/Cast_6_output_0;/Constant_25_output_0,/Unsqueeze_11_output_0,UNKNOWN,NONE
129,/Constant_26,Constant,NONE,/Constant_26_output_0,UNKNOWN,NONE
130,/Constant_27,Constant,NONE,/Constant_27_output_0,UNKNOWN,NONE
131,/Slice_2,Slice,/Transpose_1_output_0;/Unsqueeze_11_output_0;/Constant_26_output_0;/Constant_24_output_0;/Constant_27_output_0,/Slice_2_output_0,UNKNOWN,NONE
132,/Neg_1,Neg,/Slice_2_output_0,/Neg_1_output_0,UNKNOWN,NONE
133,/Constant_28,Constant,NONE,/Constant_28_output_0,UNKNOWN,NONE
134,/Constant_29,Constant,NONE,/Constant_29_output_0,UNKNOWN,NONE
135,/Constant_30,Constant,NONE,/Constant_30_output_0,UNKNOWN,NONE
136,/Unsqueeze_12,Unsqueeze,/Cast_6_output_0;/Constant_30_output_0,/Unsqueeze_12_output_0,UNKNOWN,NONE
137,/Constant_31,Constant,NONE,/Constant_31_output_0,UNKNOWN,NONE
138,/Slice_3,Slice,/Transpose_1_output_0;/Constant_29_output_0;/Unsqueeze_12_output_0;/Constant_28_output_0;/Constant_31_output_0,/Slice_3_output_0,UNKNOWN,NONE
139,/Concat_5,Concat,/Neg_1_output_0;/Slice_3_output_0,/Concat_5_output_0,UNKNOWN,NONE
140,/Mul_3,Mul,/Transpose_1_output_0;/Cast_1_output_0,/Mul_3_output_0,UNKNOWN,NONE
141,/Mul_4,Mul,/Concat_5_output_0;/Cast_2_output_0,/Mul_4_output_0,UNKNOWN,NONE
142,/Add_1,Add,/Mul_3_output_0;/Mul_4_output_0,/Add_1_output_0,UNKNOWN,NONE
143,/Concat_6,Concat,past_k0;/Add_1_output_0,present_k0,batchx8xpresent_lenx128,NONE
144,/Concat_7,Concat,past_v0;/Transpose_2_output_0,present_v0,batchx8xpresent_lenx128,NONE
145,/Constant_32,Constant,NONE,/Constant_32_output_0,UNKNOWN,NONE
146,/Unsqueeze_13,Unsqueeze,present_k0;/Constant_32_output_0,/Unsqueeze_13_output_0,UNKNOWN,NONE
147,/Shape_4,Shape,present_k0,/Shape_4_output_0,UNKNOWN,NONE
148,/Constant_33,Constant,NONE,/Constant_33_output_0,UNKNOWN,NONE
149,/Gather_4,Gather,/Shape_4_output_0;/Constant_33_output_0,/Gather_4_output_0,UNKNOWN,NONE
150,/Constant_34,Constant,NONE,/Constant_34_output_0,UNKNOWN,NONE
151,/Unsqueeze_14,Unsqueeze,/Gather_output_0;/Constant_34_output_0,/Unsqueeze_14_output_0,UNKNOWN,NONE
152,/Constant_35,Constant,NONE,/Constant_35_output_0,UNKNOWN,NONE
153,/Constant_36,Constant,NONE,/Constant_36_output_0,UNKNOWN,NONE
154,/Constant_37,Constant,NONE,/Constant_37_output_0,UNKNOWN,NONE
155,/Unsqueeze_15,Unsqueeze,/Gather_4_output_0;/Constant_37_output_0,/Unsqueeze_15_output_0,UNKNOWN,NONE
156,/Constant_38,Constant,NONE,/Constant_38_output_0,UNKNOWN,NONE
157,/Concat_8,Concat,/Unsqueeze_14_output_0;/Constant_35_output_0;/Constant_36_output_0;/Unsqueeze_15_output_0;/Constant_38_output_0,/Concat_8_output_0,UNKNOWN,NONE
158,/Constant_39,Constant,NONE,/Constant_39_output_0,UNKNOWN,NONE
159,/Reshape_3,Reshape,/Concat_8_output_0;/Constant_39_output_0,/Reshape_3_output_0,UNKNOWN,NONE
160,/Shape_5,Shape,/Reshape_3_output_0,/Shape_5_output_0,UNKNOWN,NONE
161,/ConstantOfShape,ConstantOfShape,/Shape_5_output_0,/ConstantOfShape_output_0,UNKNOWN,NONE
162,/Constant_40,Constant,NONE,/Constant_40_output_0,UNKNOWN,NONE
163,/Mul_5,Mul,/ConstantOfShape_output_0;/Constant_40_output_0,/Mul_5_output_0,UNKNOWN,NONE
164,/Equal,Equal,/Reshape_3_output_0;/Mul_5_output_0,/Equal_output_0,UNKNOWN,NONE
165,/Where,Where,/Equal_output_0;/ConstantOfShape_output_0;/Reshape_3_output_0,/Where_output_0,UNKNOWN,NONE
166,/Expand,Expand,/Unsqueeze_13_output_0;/Where_output_0,/Expand_output_0,UNKNOWN,NONE
167,Constant_2290,Constant,NONE,onnx::Unsqueeze_557,UNKNOWN,NONE
168,/Unsqueeze_16,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_557,/Unsqueeze_16_output_0,UNKNOWN,NONE
169,/Constant_41,Constant,NONE,/Constant_41_output_0,UNKNOWN,NONE
170,Constant_2293,Constant,NONE,onnx::Unsqueeze_561,UNKNOWN,NONE
171,/Unsqueeze_17,Unsqueeze,/Gather_4_output_0;onnx::Unsqueeze_561,/Unsqueeze_17_output_0,UNKNOWN,NONE
172,/Constant_42,Constant,NONE,/Constant_42_output_0,UNKNOWN,NONE
173,/Concat_9,Concat,/Unsqueeze_16_output_0;/Constant_41_output_0;/Unsqueeze_17_output_0;/Constant_42_output_0,/Concat_9_output_0,UNKNOWN,NONE
174,/Reshape_4,Reshape,/Expand_output_0;/Concat_9_output_0,/Reshape_4_output_0,UNKNOWN,NONE
175,/Constant_43,Constant,NONE,/Constant_43_output_0,UNKNOWN,NONE
176,/Unsqueeze_18,Unsqueeze,present_v0;/Constant_43_output_0,/Unsqueeze_18_output_0,UNKNOWN,NONE
177,/Shape_6,Shape,present_v0,/Shape_6_output_0,UNKNOWN,NONE
178,/Constant_44,Constant,NONE,/Constant_44_output_0,UNKNOWN,NONE
179,/Gather_5,Gather,/Shape_6_output_0;/Constant_44_output_0,/Gather_5_output_0,UNKNOWN,NONE
180,/Constant_45,Constant,NONE,/Constant_45_output_0,UNKNOWN,NONE
181,/Unsqueeze_19,Unsqueeze,/Gather_output_0;/Constant_45_output_0,/Unsqueeze_19_output_0,UNKNOWN,NONE
182,/Constant_46,Constant,NONE,/Constant_46_output_0,UNKNOWN,NONE
183,/Constant_47,Constant,NONE,/Constant_47_output_0,UNKNOWN,NONE
184,/Constant_48,Constant,NONE,/Constant_48_output_0,UNKNOWN,NONE
185,/Unsqueeze_20,Unsqueeze,/Gather_5_output_0;/Constant_48_output_0,/Unsqueeze_20_output_0,UNKNOWN,NONE
186,/Constant_49,Constant,NONE,/Constant_49_output_0,UNKNOWN,NONE
187,/Concat_10,Concat,/Unsqueeze_19_output_0;/Constant_46_output_0;/Constant_47_output_0;/Unsqueeze_20_output_0;/Constant_49_output_0,/Concat_10_output_0,UNKNOWN,NONE
188,/Constant_50,Constant,NONE,/Constant_50_output_0,UNKNOWN,NONE
189,/Reshape_5,Reshape,/Concat_10_output_0;/Constant_50_output_0,/Reshape_5_output_0,UNKNOWN,NONE
190,/Shape_7,Shape,/Reshape_5_output_0,/Shape_7_output_0,UNKNOWN,NONE
191,/ConstantOfShape_1,ConstantOfShape,/Shape_7_output_0,/ConstantOfShape_1_output_0,UNKNOWN,NONE
192,/Constant_51,Constant,NONE,/Constant_51_output_0,UNKNOWN,NONE
193,/Mul_6,Mul,/ConstantOfShape_1_output_0;/Constant_51_output_0,/Mul_6_output_0,UNKNOWN,NONE
194,/Equal_1,Equal,/Reshape_5_output_0;/Mul_6_output_0,/Equal_1_output_0,UNKNOWN,NONE
195,/Where_1,Where,/Equal_1_output_0;/ConstantOfShape_1_output_0;/Reshape_5_output_0,/Where_1_output_0,UNKNOWN,NONE
196,/Expand_1,Expand,/Unsqueeze_18_output_0;/Where_1_output_0,/Expand_1_output_0,UNKNOWN,NONE
197,Constant_2320,Constant,NONE,onnx::Unsqueeze_592,UNKNOWN,NONE
198,/Unsqueeze_21,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_592,/Unsqueeze_21_output_0,UNKNOWN,NONE
199,/Constant_52,Constant,NONE,/Constant_52_output_0,UNKNOWN,NONE
200,Constant_2323,Constant,NONE,onnx::Unsqueeze_596,UNKNOWN,NONE
201,/Unsqueeze_22,Unsqueeze,/Gather_5_output_0;onnx::Unsqueeze_596,/Unsqueeze_22_output_0,UNKNOWN,NONE
202,/Constant_53,Constant,NONE,/Constant_53_output_0,UNKNOWN,NONE
203,/Concat_11,Concat,/Unsqueeze_21_output_0;/Constant_52_output_0;/Unsqueeze_22_output_0;/Constant_53_output_0,/Concat_11_output_0,UNKNOWN,NONE
204,/Reshape_6,Reshape,/Expand_1_output_0;/Concat_11_output_0,/Reshape_6_output_0,UNKNOWN,NONE
205,/Transpose_3,Transpose,/Reshape_4_output_0,/Transpose_3_output_0,UNKNOWN,NONE
206,/MatMul,MatMul,/Add_output_0;/Transpose_3_output_0,/MatMul_output_0,UNKNOWN,NONE
207,/Constant_54,Constant,NONE,/Constant_54_output_0,UNKNOWN,NONE
208,/Mul_7,Mul,/MatMul_output_0;/Constant_54_output_0,/Mul_7_output_0,UNKNOWN,NONE
209,/Softmax,Softmax,/Mul_7_output_0,/Softmax_output_0,UNKNOWN,NONE
210,/Cast_7,Cast,/Softmax_output_0,/Cast_7_output_0,UNKNOWN,NONE
211,/Cast_8,Cast,/Cast_7_output_0,/Cast_8_output_0,UNKNOWN,NONE
212,/MatMul_1,MatMul,/Cast_8_output_0;/Reshape_6_output_0,/MatMul_1_output_0,UNKNOWN,NONE
213,/Transpose_4,Transpose,/MatMul_1_output_0,/Transpose_4_output_0,UNKNOWN,NONE
214,Constant_2337,Constant,NONE,onnx::Unsqueeze_611,UNKNOWN,NONE
215,/Unsqueeze_23,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_611,/Unsqueeze_23_output_0,UNKNOWN,NONE
216,Constant_2339,Constant,NONE,onnx::Unsqueeze_613,UNKNOWN,NONE
217,/Unsqueeze_24,Unsqueeze,/Gather_1_output_0;onnx::Unsqueeze_613,/Unsqueeze_24_output_0,UNKNOWN,NONE
218,/Constant_55,Constant,NONE,/Constant_55_output_0,UNKNOWN,NONE
219,/Concat_12,Concat,/Unsqueeze_23_output_0;/Unsqueeze_24_output_0;/Constant_55_output_0,/Concat_12_output_0,UNKNOWN,NONE
220,/Reshape_7,Reshape,/Transpose_4_output_0;/Concat_12_output_0,/Reshape_7_output_0,UNKNOWN,NONE
221,/o_proj/MatMul__a_quant,QuantizeLinear,/Reshape_7_output_0;/o_proj/MatMul__a_scale;/o_proj/MatMul__a_zp,/o_proj/MatMul__a_q,UNKNOWN,/o_proj/MatMul__a_scale:UNKNOWN;/o_proj/MatMul__a_zp:UNKNOWN
222,/o_proj/MatMul__a_dequant,DequantizeLinear,/o_proj/MatMul__a_q;/o_proj/MatMul__a_scale;/o_proj/MatMul__a_zp,/o_proj/MatMul__a_dq,UNKNOWN,/o_proj/MatMul__a_scale:UNKNOWN;/o_proj/MatMul__a_zp:UNKNOWN
223,/o_proj/MatMul__w_dequant,DequantizeLinear,onnx::MatMul_7561;onnx::MatMul_7561__w_scale;onnx::MatMul_7561__w_zp,onnx::MatMul_7561__dq,UNKNOWN,onnx::MatMul_7561:2048x1024;onnx::MatMul_7561__w_scale:UNKNOWN;onnx::MatMul_7561__w_zp:UNKNOWN
224,/o_proj/MatMul,MatMul,/o_proj/MatMul__a_dq;onnx::MatMul_7561__dq,/o_proj/MatMul_output_0,UNKNOWN,NONE
225,/Add_2,Add,hidden_states;/o_proj/MatMul_output_0,/Add_2_output_0,UNKNOWN,NONE
226,/post_attention_layernorm/Cast,Cast,/Add_2_output_0,/post_attention_layernorm/Cast_output_0,UNKNOWN,NONE
227,/post_attention_layernorm/Constant,Constant,NONE,/post_attention_layernorm/Constant_output_0,UNKNOWN,NONE
