layer_id,layer_name,layer_type,metadata,input_tensors,output_tensors,precision,tactic_name
10,__mye676850_myl0_10,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
11,__myl_FcCas_myl0_11,fusion,[ONNX Layer: /q_proj/MatMul];[ONNX Layer: /q_proj/MatMul__a_dequant];[ONNX Layer: /q_proj/MatMul__a_quant];[ONNX Layer: /q_proj/MatMul__w_dequant],"[{""name"":""__myln_k_arg__bb1_2669"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613892dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2678"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
12,__myl_ResMulMea_myl0_12,kgen,[ONNX Layer: /Reshape];[ONNX Layer: /q_norm/Pow];[ONNX Layer: /q_norm/ReduceMean],"[{""name"":""__myln_k_arg__bb1_2678"",""shape"":[1,1,2048],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2680"",""shape"":[1,1,16,1],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2679"",""shape"":[1,1,16,128],""precision"":""Half""}]",inputs=Half|outputs=Half;Half,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
13,__mye676852_myl0_13,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
14,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_myl0_14,kgen,[ONNX Layer: /k_norm/Div];[ONNX Layer: /q_norm/Div];[ONNX Layer: /k_norm/Mul];[ONNX Layer: /k_norm/Mul_1];[ONNX Layer: /Transpose_1];[ONNX Layer: /Slice_2];[ONNX Layer: /Slice_3];[ONNX Layer: /Concat_5];[ONNX Layer: /Mul_4];[ONNX Layer: /Add_1];[ONNX Layer: /Mul_3];[ONNX Layer: /Unsqueeze_13];[ONNX Layer: /Reshape_4];[ONNX Layer: /Transpose_3];[ONNX Layer: /Expand];[ONNX Layer: /Concat_6];[ONNX Layer: /Neg_1];[ONNX Layer: /q_norm/Mul];[ONNX Layer: /q_norm/Mul_1];[ONNX Layer: /Transpose];[ONNX Layer: /Slice];[ONNX Layer: /Slice_1];[ONNX Layer: /Concat_4];[ONNX Layer: /Mul_2];[ONNX Layer: /Add];[ONNX Layer: /Mul_1];[ONNX Layer: /Neg];[ONNX Layer: /Sin];[ONNX Layer: /Unsqueeze_8];[ONNX Layer: /Cos];[ONNX Layer: /Unsqueeze_7];[ONNX Layer: /Concat_3];[ONNX Layer: /Mul];[ONNX Layer: /q_norm/Sqrt];[ONNX Layer: /q_norm/Add];[ONNX Layer: /k_norm/Sqrt];[ONNX Layer: /k_norm/Add];[ONNX Layer: /Unsqueeze_6];[ONNX Layer: /Cast],"[{""name"":""position_ids"",""shape"":[1,1],""precision"":""Int64""},{""name"":""__myln_k_arg__bb1_2677"",""shape"":[1,1,8,1],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2680"",""shape"":[1,1,16,1],""precision"":""Half""},{""name"":""/Constant_9_output_0 _ ONNXTRT_Broadcast_50_constantHalf"",""shape"":[1,1,64],""precision"":""Half""},{""name"":""stack_layers_0_self_attn_q_norm_weight _ ONNXTRT_Broadcast_20_constantHalf"",""shape"":[1,1,1,128],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2679"",""shape"":[1,1,16,128],""precision"":""Half""},{""name"":""past_k0"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""stack_layers_0_self_attn_k_norm_weight _ ONNXTRT_Broadcast_38_constantHalf"",""shape"":[1,1,1,128],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2676"",""shape"":[1,1,8,128],""precision"":""Half""},{""name"":""proxy___mye667330"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667369"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667414"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66760_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614149"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614122"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614089"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614062"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614029"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613996"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613969"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613936"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613909"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431809.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431782.1"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66752_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye430382.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye430368.1"",""shape"":[1],""precision"":""Int64""}]","[{""name"":""__myln_k_arg__bb1_2685"",""shape"":[1,1,1,128],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2684"",""shape"":[1,1,1,128],""precision"":""Half""},{""name"":""/Add_output_0'.1"",""shape"":[1,16,1,128],""precision"":""Half""},{""name"":""present_k0"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_4 _ /Transpose_3_first_transpose_output.1"",""shape"":[1,16,128,-1],""precision"":""Half""}]",inputs=Int64;Half;Half;Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half;Half;Half;Half,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
15,/MatMul_myl0_15,gemm,[ONNX Layer: /MatMul],"[{""name"":""/Add_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_4 _ /Transpose_3_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye567710/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567711/MatMul_beta"",""shape"":[1],""precision"":""Float""}]","[{""name"":""__mye567707"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
16,__myl_MulMaxSubExpSumDivMul_myl0_16,kgen,[ONNX Layer: /Mul_7];[ONNX Layer: /Softmax],"[{""name"":""__mye567707"",""shape"":[1,16,1,-1],""precision"":""Half""},{""name"":""__mye66760_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye312316.1"",""shape"":[1],""precision"":""Int64""}]","[{""name"":""/Softmax_output'.1"",""shape"":[1,16,1,-1],""precision"":""Half""}]",inputs=Half;Int64;Int64|outputs=Half,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
17,__mye676856_myl0_17,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
18,/MatMul_1_myl0_18,gemm,[ONNX Layer: /MatMul_1],"[{""name"":""/Softmax_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_1_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye567731/MatMul_1_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567732/MatMul_1_beta"",""shape"":[1],""precision"":""Float""}]","[{""name"":""__myln_k_arg__bb1_2688"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
19,__myl_MulMinMaxRouCas_myl0_19,kgen,[ONNX Layer: /o_proj/MatMul__a_quant],"[{""name"":""__myln_k_arg__bb1_2688"",""shape"":[16,1,128],""precision"":""Half""}]","[{""name"":""__mye574508_q8"",""shape"":[16,1,128],""precision"":""Int8""}]",inputs=Half|outputs=Int8,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
20,__myl_FcCasAdd_myl0_20,fusion,[ONNX Layer: /o_proj/MatMul];[ONNX Layer: /o_proj/MatMul__a_dequant];[ONNX Layer: /o_proj/MatMul__a_quant];[ONNX Layer: /o_proj/MatMul__w_dequant];[ONNX Layer: /Add_2],"[{""name"":""hidden_states"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574508_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye614244dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
21,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_myl0_21,kgen,[ONNX Layer: /post_attention_layernorm/Pow];[ONNX Layer: /post_attention_layernorm/ReduceMean];[ONNX Layer: /post_attention_layernorm/Add];[ONNX Layer: /post_attention_layernorm/Div];[ONNX Layer: /post_attention_layernorm/Sqrt];[ONNX Layer: /post_attention_layernorm/Mul];[ONNX Layer: /post_attention_layernorm/Mul_1];[ONNX Layer: /gate_proj/MatMul__a_quant],"[{""name"":""stack_layers_0_post_attention_layernorm_weight _ ONNXTRT_Broadcast_291_constantHalf"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2692"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__myln_k_arg__bb1_2691"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half;Half|outputs=Int8;Half,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
22,/up_proj/MatMul_myl0_22,gemm,[ONNX Layer: /up_proj/MatMul],"[{""name"":""__myln_k_arg__bb1_2691"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye614249dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye567755/up_proj/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567756/up_proj/MatMul_beta"",""shape"":[1],""precision"":""Float""}]","[{""name"":""__myln_k_arg__bb1_2693"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
23,__myl_FcCasNegExpAddDivMulMul_myl0_23,fusion,[ONNX Layer: /gate_proj/MatMul];[ONNX Layer: /gate_proj/MatMul__a_dequant];[ONNX Layer: /gate_proj/MatMul__a_quant];[ONNX Layer: /gate_proj/MatMul__w_dequant];[ONNX Layer: /Mul_8];[ONNX Layer: /Mul_9];[ONNX Layer: /Sigmoid],"[{""name"":""__myln_k_arg__bb1_2693"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2692"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614254dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2694"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
24,__myl_FcAdd_myl0_24,fusion,[ONNX Layer: /down_proj/MatMul];[ONNX Layer: /Add_3],"[{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2694"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7564 _ ONNXTRT_Broadcast_300_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]","[{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic
25,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_25,kgen,[ONNX Layer: /q_proj_1/MatMul__a_quant];[ONNX Layer: /k_proj_1/MatMul__a_quant];[ONNX Layer: /v_proj_1/MatMul__a_quant];[ONNX Layer: /input_layernorm_1/Mul];[ONNX Layer: /input_layernorm_1/Sqrt];[ONNX Layer: /input_layernorm_1/Div];[ONNX Layer: /input_layernorm_1/Add];[ONNX Layer: /input_layernorm_1/ReduceMean];[ONNX Layer: /input_layernorm_1/Pow],"[{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608665_dconst"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608692_dconst"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608719_dconst"",""shape"":[1,1,1024],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2698"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__myln_k_arg__bb1_2697"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__myln_k_arg__bb1_2696"",""shape"":[1,1,1024],""precision"":""Int8""}]",inputs=Half;Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
26,__mye676858_myl0_26,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
27,__mye676860_myl0_27,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
28,__myl_FcCas_myl0_28,fusion,[ONNX Layer: /v_proj_1/MatMul];[ONNX Layer: /v_proj_1/MatMul__a_dequant];[ONNX Layer: /v_proj_1/MatMul__a_quant];[ONNX Layer: /v_proj_1/MatMul__w_dequant],"[{""name"":""__myln_k_arg__bb1_2698"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614259dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2699"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
29,__mye676862_myl0_29,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
30,__mye676864_myl0_30,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
31,__myl_ResConResRep_myl0_31,kgen,[ONNX Layer: /Reshape_10];[ONNX Layer: /Transpose_7];[ONNX Layer: /Unsqueeze_40];[ONNX Layer: /Expand_3];[ONNX Layer: /Concat_19],"[{""name"":""past_v1"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2699"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""proxy___mye667668"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667713"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667738"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66760_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614396"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614363"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614336"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614303"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye614276"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431869.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431842.1"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66752_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431078.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye430368.1"",""shape"":[1],""precision"":""Int64""}]","[{""name"":""present_v1"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""/Expand_3_output_0'.1"",""shape"":[1,8,2,-1,128],""precision"":""Half""}]",inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
32,__mye676876_myl0_32,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
33,__mye676866_myl0_33,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
34,__myl_FcCas_myl0_34,fusion,[ONNX Layer: /k_proj_1/MatMul];[ONNX Layer: /k_proj_1/MatMul__a_dequant];[ONNX Layer: /k_proj_1/MatMul__a_quant];[ONNX Layer: /k_proj_1/MatMul__w_dequant],"[{""name"":""__myln_k_arg__bb1_2697"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614417dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2702"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
35,__mye676868_myl0_35,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
36,__mye676870_myl0_36,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
37,__myl_ResMulMea_myl0_37,kgen,[ONNX Layer: /Reshape_9];[ONNX Layer: /k_norm_1/Pow];[ONNX Layer: /k_norm_1/ReduceMean],"[{""name"":""__myln_k_arg__bb1_2702"",""shape"":[1,1,1024],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2704"",""shape"":[1,1,8,1],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2703"",""shape"":[1,1,8,128],""precision"":""Half""}]",inputs=Half|outputs=Half;Half,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
