decoder_layer,qk_onnx_node,decode_trt_layer,static_decode_tactic_class,static_decode_kernel_full_name,prefill_trt_layer,prefill_fusion_status,runtime_path_observation,runtime_shape_equivalence,confidence
0,/MatMul,/MatMul_myl0_15,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_17,FUSED_INTO_gemm_mha_v2,Layer 0 runtime trace contains four xmma and seven h16816 exact /MatMul launches with different immediate parents,UNKNOWN,HIGH_STATIC; LOW_RUNTIME_TRANSITION
18,/MatMul_36,/MatMul_36_myl0_465,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_431,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
19,/MatMul_38,/MatMul_38_myl0_490,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_454,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
20,/MatMul_40,/MatMul_40_myl0_515,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_477,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
21,/MatMul_42,/MatMul_42_myl0_540,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_500,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
22,/MatMul_44,/MatMul_44_myl0_565,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_523,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
23,/MatMul_46,/MatMul_46_myl0_590,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_546,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
24,/MatMul_48,/MatMul_48_myl0_615,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_569,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
25,/MatMul_50,/MatMul_50_myl0_640,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_592,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
26,/MatMul_52,/MatMul_52_myl0_665,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_615,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
27,/MatMul_54,/MatMul_54_myl0_690,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_638,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
