layer_id,layer_name,layer_type,precision,input_shape,output_shape,tactic
22,/up_proj/MatMul_myl0_22,gemm,inputs=Half;Half;Float;Float|outputs=Half,1x1x1024;1x1024x3072;1;1,1x1x3072,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
23,__myl_FcCasNegExpAddDivMulMul_myl0_23,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x3072;1x1x1024;1x1024x3072,1x1x3072,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
24,__myl_FcAdd_myl0_24,fusion,inputs=Half;Half;Half|outputs=Half,1x1x1024;1x1x3072;1x3072x1024,1x1x1024,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic
25,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_25,kgen,inputs=Half;Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
26,__mye676858_myl0_26,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
27,__mye676860_myl0_27,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
28,__myl_FcCas_myl0_28,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
29,__mye676862_myl0_29,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
30,__mye676864_myl0_30,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
31,__myl_ResConResRep_myl0_31,kgen,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x8x2x-1x128,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
32,__mye676876_myl0_32,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
33,__mye676866_myl0_33,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
34,__myl_FcCas_myl0_34,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
35,__mye676868_myl0_35,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
36,__mye676870_myl0_36,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
37,__myl_ResMulMea_myl0_37,kgen,inputs=Half|outputs=Half;Half,1x1x1024,1x1x8x1;1x1x8x128,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
38,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_myl0_38,kgen,inputs=Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1x128;1x1x1x128;1x1x1x128;1x1x8x128;1x1x8x1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x16x128x-1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
39,__mye676872_myl0_39,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
40,__myl_FcCas_myl0_40,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x2048,1x1x2048,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
41,__myl_ResMulMea_myl0_41,kgen,inputs=Half|outputs=Half;Half,1x1x2048,1x1x16x1;1x1x16x128,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
42,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_myl0_42,kgen,inputs=Half;Half;Half;Half;Half|outputs=Half,1x1x1x128;1x1x1x128;1x1x1x128;1x1x16x128;1x1x16x1,1x16x1x128,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
43,__mye676874_myl0_43,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
44,/MatMul_2_myl0_44,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x128;16x128x-1;1;1,16x1x-1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
45,__myl_MulMaxSubExpSumDivMul_myl0_45,kgen,inputs=Half;Int64;Int64|outputs=Half,1x16x1x-1;1;1,1x16x1x-1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
46,__mye676878_myl0_46,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
47,/MatMul_3_myl0_47,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x-1;16x-1x128;1;1,16x1x128,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
48,__myl_MulMinMaxRouCas_myl0_48,kgen,inputs=Half|outputs=Int8,16x1x128,16x1x128,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
49,__myl_FcCasAdd_myl0_49,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x1024;1x1x2048;1x2048x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
50,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_myl0_50,kgen,inputs=Half;Half;Half;Half|outputs=Int8;Half,1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
51,/up_proj_1/MatMul_myl0_51,gemm,inputs=Half;Half;Float;Float|outputs=Half,1x1x1024;1x1024x3072;1;1,1x1x3072,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
52,__myl_FcCasNegExpAddDivMulMul_myl0_52,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x3072;1x1x1024;1x1024x3072,1x1x3072,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
53,__myl_FcAdd_myl0_53,fusion,inputs=Half;Half;Half|outputs=Half,1x1x1024;1x1x3072;1x3072x1024,1x1x1024,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic
54,__myl_MulMeaAddSqrDivMulMul_myl0_54,kgen,inputs=Half;Half;Half;Half|outputs=Half,1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
55,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_55,gemm,inputs=Half;Half;Float;Float|outputs=Half,1x1x1024;1x1024x4096;1;1,1x1x4096,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
56,__mye676880_myl0_56,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
57,__mye676882_myl0_57,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
58,__myl_MovResConResRep_myl0_58,kgen,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x8x2x-1x128,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
59,__mye676890_myl0_59,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
60,__myl_MovResMulMea_myl0_60,kgen,inputs=Half|outputs=Half;Half,1x1x1024,1x1x8x128;1x1x8x1,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
61,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_myl0_61,kgen,inputs=Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1x128;1x1x1x128;1x1x1x128;1x1x8x128;1x1x8x1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x16x128x-1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
62,__mye676884_myl0_62,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
63,__myl_MovResMulMea_myl0_63,kgen,inputs=Half|outputs=Half;Half,1x1x2048,1x1x16x128;1x1x16x1,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
64,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_myl0_64,kgen,inputs=Half;Half;Half;Half;Half|outputs=Half,1x1x1x128;1x1x1x128;1x1x1x128;1x1x16x128;1x1x16x1,1x16x1x128,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
65,__mye676886_myl0_65,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
66,__mye676888_myl0_66,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
67,/MatMul_4_myl0_67,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x128;16x128x-1;1;1,16x1x-1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
68,__myl_MulMaxSubExpSumDivMul_myl0_68,kgen,inputs=Half;Int64;Int64|outputs=Half,1x16x1x-1;1;1,1x16x1x-1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
69,__mye676892_myl0_69,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
70,/MatMul_5_myl0_70,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x-1;16x-1x128;1;1,16x1x128,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
71,__myl_MulMinMaxRouCas_myl0_71,kgen,inputs=Half|outputs=Int8,16x1x128,16x1x128,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
72,__myl_FcCasAdd_myl0_72,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x1024;1x1x2048;1x2048x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
73,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_myl0_73,kgen,inputs=Half;Half;Half;Half|outputs=Int8;Half,1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
74,/up_proj_2/MatMul_myl0_74,gemm,inputs=Half;Half;Float;Float|outputs=Half,1x1x1024;1x1024x3072;1;1,1x1x3072,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
75,__myl_FcCasNegExpAddDivMulMul_myl0_75,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x3072;1x1x1024;1x1024x3072,1x1x3072,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
76,__myl_FcAdd_myl0_76,fusion,inputs=Half;Half;Half|outputs=Half,1x1x1024;1x1x3072;1x3072x1024,1x1x1024,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic
77,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_77,kgen,inputs=Half;Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
78,__mye676894_myl0_78,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
79,__mye676896_myl0_79,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
80,__myl_FcCas_myl0_80,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
81,__myl_ResConResRep_myl0_81,kgen,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x8x2x-1x128,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
82,__mye676904_myl0_82,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
83,__mye676898_myl0_83,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
84,__myl_FcCas_myl0_84,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
85,__myl_ResMulMea_myl0_85,kgen,inputs=Half|outputs=Half;Half,1x1x1024,1x1x8x1;1x1x8x128,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
86,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_myl0_86,kgen,inputs=Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1x128;1x1x1x128;1x1x1x128;1x1x8x128;1x1x8x1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x16x128x-1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
87,__mye676900_myl0_87,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
88,__myl_FcCas_myl0_88,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x2048,1x1x2048,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
89,__myl_ResMulMea_myl0_89,kgen,inputs=Half|outputs=Half;Half,1x1x2048,1x1x16x1;1x1x16x128,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
90,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_myl0_90,kgen,inputs=Half;Half;Half;Half;Half|outputs=Half,1x1x1x128;1x1x1x128;1x1x1x128;1x1x16x128;1x1x16x1,1x16x1x128,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
91,__mye676902_myl0_91,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
92,/MatMul_6_myl0_92,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x128;16x128x-1;1;1,16x1x-1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
93,__myl_MulMaxSubExpSumDivMul_myl0_93,kgen,inputs=Half;Int64;Int64|outputs=Half,1x16x1x-1;1;1,1x16x1x-1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
94,__mye676906_myl0_94,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
95,/MatMul_7_myl0_95,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x-1;16x-1x128;1;1,16x1x128,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
96,__myl_MulMinMaxRouCas_myl0_96,kgen,inputs=Half|outputs=Int8,16x1x128,16x1x128,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
97,__myl_FcCasAdd_myl0_97,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x1024;1x1x2048;1x2048x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
98,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_myl0_98,kgen,inputs=Half;Half;Half;Half|outputs=Int8;Half,1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
99,/up_proj_3/MatMul_myl0_99,gemm,inputs=Half;Half;Float;Float|outputs=Half,1x1x1024;1x1024x3072;1;1,1x1x3072,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16
100,__myl_FcCasNegExpAddDivMulMul_myl0_100,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x3072;1x1x1024;1x1024x3072,1x1x3072,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
101,__myl_FcAdd_myl0_101,fusion,inputs=Half;Half;Half|outputs=Half,1x1x1024;1x1x3072;1x3072x1024,1x1x1024,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic
102,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_102,kgen,inputs=Half;Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
103,__mye676908_myl0_103,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
104,__mye676910_myl0_104,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
105,__myl_FcCas_myl0_105,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
106,__myl_ResConResRep_myl0_106,kgen,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x8x2x-1x128,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
107,__mye676918_myl0_107,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
108,__mye676912_myl0_108,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
109,__myl_FcCas_myl0_109,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
110,__myl_ResMulMea_myl0_110,kgen,inputs=Half|outputs=Half;Half,1x1x1024,1x1x8x1;1x1x8x128,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
111,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_myl0_111,kgen,inputs=Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1x128;1x1x1x128;1x1x1x128;1x1x8x128;1x1x8x1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x16x128x-1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
112,__mye676914_myl0_112,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
113,__myl_FcCas_myl0_113,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x2048,1x1x2048,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
114,__myl_ResMulMea_myl0_114,kgen,inputs=Half|outputs=Half;Half,1x1x2048,1x1x16x1;1x1x16x128,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
