label,kernel_name,time_ms,category,evidence
fp16_persistent,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff,0.294816,Attention,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com,0.261056,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec,0.235936,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
fp16_persistent,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec,0.225952,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,39.590976,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused,26.120544,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused,18.580768,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,17.964064,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused,15.84432,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4.237568,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused,3.721568,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,2.593856,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused,2.437152,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,2.072032,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f,1.835296,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1,1.745632,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5,1.375008,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a,0.983072,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656,0.962528,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f,0.935904,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4,0.912512,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1_com,0.574368,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com,0.468672,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,0.3696,GEMM,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com,0.27856,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec,0.25184,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com,0.24416,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com,0.231744,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
mixed_persistent,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com,0.227968,TensorRT internal,NSYS_NVTX_KERNEL_NAME_AGGREGATE
