label,range,category,count,time_ms,evidence
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,Attention,28,0.294816,NAME_BASED_MHA_GEMM_TACTIC_ONLY
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,Elementwise,1,0.004384,NAME_BASED_TORCH_STYLE_KERNEL
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,TensorRT internal,1126,16.491392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_2,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,GEMM,929,202.919104,NAME_BASED_GEMM_TACTIC
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,Attention,28,0.294816,NAME_BASED_MHA_GEMM_TACTIC_ONLY
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,Elementwise,1,0.004384,NAME_BASED_TORCH_STYLE_KERNEL
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,TensorRT internal,1126,16.491392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
fp16_persistent,PHASE3B_STEADY_DECODE_STEP_3,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,GEMM,1199,133.532448,NAME_BASED_GEMM_TACTIC
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,Attention,28,0.36656,NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,Elementwise,1,0.00416,NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,TensorRT internal,1224,13.927392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,PHASE3B_STEADY_PREFILL_S8,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,GEMM,1199,133.532448,NAME_BASED_GEMM_TACTIC
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,Attention,28,0.36656,NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,Elementwise,1,0.00416,NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,TensorRT internal,1224,13.927392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_0,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,GEMM,1199,133.532448,NAME_BASED_GEMM_TACTIC
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,Attention,28,0.36656,NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,Elementwise,1,0.00416,NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,TensorRT internal,1224,13.927392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_1,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,GEMM,1199,133.532448,NAME_BASED_GEMM_TACTIC
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,Attention,28,0.36656,NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,Elementwise,1,0.00416,NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,TensorRT internal,1224,13.927392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_2,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,GEMM,1199,133.532448,NAME_BASED_GEMM_TACTIC
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,Attention,28,0.36656,NAME_BASED_MHA_GEMM_TACTIC_ONLY
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,RMSNorm,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,RoPE,0,0.0,NAME_BASED_IF_PRESENT_ELSE_NOT_IDENTIFIED
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,Elementwise,1,0.00416,NAME_BASED_TORCH_STYLE_KERNEL
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,Memory,0,0.0,NSYS_CUDA_GPU_MEM_TIME_SUM
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,TensorRT internal,1224,13.927392,TRT_NAMESPACE_ONLY_OPERATOR_UNKNOWN
mixed_persistent,PHASE3B_STEADY_DECODE_STEP_3,Unknown,0,0.0,NO_SAFE_NAME_MAPPING
