nvtx_range,source_node_names,operator,trt_layer_id,trt_layer_name,kernel_names,kernel_instances,total_time_ns,confidence
myelin-exec:/MatMul_19,/MatMul_19,UNKNOWN,244,/MatMul_19_myl0_244,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,138784.0,MEDIUM
myelin-exec:/MatMul_2,/MatMul_2,UNKNOWN,44,/MatMul_2_myl0_44,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,77856.0,MEDIUM
myelin-exec:/MatMul_20,/MatMul_20,UNKNOWN,266,/MatMul_20_myl0_266,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97472.0,MEDIUM
myelin-exec:/MatMul_21,/MatMul_21,UNKNOWN,269,/MatMul_21_myl0_269,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157056.0,MEDIUM
myelin-exec:/MatMul_22,/MatMul_22,UNKNOWN,291,/MatMul_22_myl0_291,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98720.0,MEDIUM
myelin-exec:/MatMul_23,/MatMul_23,UNKNOWN,294,/MatMul_23_myl0_294,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158784.0,MEDIUM
myelin-exec:/MatMul_24,/MatMul_24,UNKNOWN,316,/MatMul_24_myl0_316,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97184.0,MEDIUM
myelin-exec:/MatMul_25,/MatMul_25,UNKNOWN,319,/MatMul_25_myl0_319,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157792.0,MEDIUM
myelin-exec:/MatMul_26,/MatMul_26,UNKNOWN,341,/MatMul_26_myl0_341,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98848.0,MEDIUM
myelin-exec:/MatMul_27,/MatMul_27,UNKNOWN,344,/MatMul_27_myl0_344,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157984.0,MEDIUM
myelin-exec:/MatMul_28,/MatMul_28,UNKNOWN,366,/MatMul_28_myl0_366,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,99072.0,MEDIUM
myelin-exec:/MatMul_29,/MatMul_29,UNKNOWN,369,/MatMul_29_myl0_369,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,152800.0,MEDIUM
myelin-exec:/MatMul_3,/MatMul_3,UNKNOWN,47,/MatMul_3_myl0_47,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,130368.0,MEDIUM
myelin-exec:/MatMul_30,/MatMul_30,UNKNOWN,390,/MatMul_30_myl0_390,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97856.0,MEDIUM
myelin-exec:/MatMul_31,/MatMul_31,UNKNOWN,393,/MatMul_31_myl0_393,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,154272.0,MEDIUM
myelin-exec:/MatMul_32,/MatMul_32,UNKNOWN,415,/MatMul_32_myl0_415,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98048.0,MEDIUM
myelin-exec:/MatMul_33,/MatMul_33,UNKNOWN,418,/MatMul_33_myl0_418,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158144.0,MEDIUM
myelin-exec:/MatMul_34,/MatMul_34,UNKNOWN,440,/MatMul_34_myl0_440,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,96352.0,MEDIUM
myelin-exec:/MatMul_35,/MatMul_35,UNKNOWN,443,/MatMul_35_myl0_443,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,156352.0,MEDIUM
myelin-exec:/MatMul_36,/MatMul_36,UNKNOWN,465,/MatMul_36_myl0_465,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98720.0,MEDIUM
myelin-exec:/MatMul_37,/MatMul_37,UNKNOWN,468,/MatMul_37_myl0_468,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158048.0,MEDIUM
myelin-exec:/MatMul_38,/MatMul_38,UNKNOWN,490,/MatMul_38_myl0_490,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,95936.0,MEDIUM
myelin-exec:/MatMul_39,/MatMul_39,UNKNOWN,493,/MatMul_39_myl0_493,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158272.0,MEDIUM
myelin-exec:/MatMul_4,/MatMul_4,UNKNOWN,67,/MatMul_4_myl0_67,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,75136.0,MEDIUM
myelin-exec:/MatMul_40,/MatMul_40,UNKNOWN,515,/MatMul_40_myl0_515,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97760.0,MEDIUM
myelin-exec:/MatMul_41,/MatMul_41,UNKNOWN,518,/MatMul_41_myl0_518,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157024.0,MEDIUM
myelin-exec:/MatMul_42,/MatMul_42,UNKNOWN,540,/MatMul_42_myl0_540,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97152.0,MEDIUM
myelin-exec:/MatMul_43,/MatMul_43,UNKNOWN,543,/MatMul_43_myl0_543,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,161024.0,MEDIUM
myelin-exec:/MatMul_44,/MatMul_44,UNKNOWN,565,/MatMul_44_myl0_565,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,105824.0,MEDIUM
myelin-exec:/MatMul_45,/MatMul_45,UNKNOWN,568,/MatMul_45_myl0_568,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,171008.0,MEDIUM
myelin-exec:/MatMul_46,/MatMul_46,UNKNOWN,590,/MatMul_46_myl0_590,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,106240.0,MEDIUM
myelin-exec:/MatMul_47,/MatMul_47,UNKNOWN,593,/MatMul_47_myl0_593,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,171776.0,MEDIUM
myelin-exec:/MatMul_48,/MatMul_48,UNKNOWN,615,/MatMul_48_myl0_615,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,105600.0,MEDIUM
myelin-exec:/MatMul_49,/MatMul_49,UNKNOWN,618,/MatMul_49_myl0_618,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,172032.0,MEDIUM
myelin-exec:/MatMul_5,/MatMul_5,UNKNOWN,70,/MatMul_5_myl0_70,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,130304.0,MEDIUM
myelin-exec:/MatMul_50,/MatMul_50,UNKNOWN,640,/MatMul_50_myl0_640,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,105888.0,MEDIUM
myelin-exec:/MatMul_51,/MatMul_51,UNKNOWN,643,/MatMul_51_myl0_643,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,170240.0,MEDIUM
myelin-exec:/MatMul_52,/MatMul_52,UNKNOWN,665,/MatMul_52_myl0_665,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,105760.0,MEDIUM
myelin-exec:/MatMul_53,/MatMul_53,UNKNOWN,668,/MatMul_53_myl0_668,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,171552.0,MEDIUM
myelin-exec:/MatMul_54,/MatMul_54,UNKNOWN,690,/MatMul_54_myl0_690,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,107456.0,MEDIUM
myelin-exec:/MatMul_55,/MatMul_55,UNKNOWN,693,/MatMul_55_myl0_693,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,170368.0,MEDIUM
myelin-exec:/MatMul_6,/MatMul_6,UNKNOWN,92,/MatMul_6_myl0_92,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,77792.0,MEDIUM
myelin-exec:/MatMul_7,/MatMul_7,UNKNOWN,95,/MatMul_7_myl0_95,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,132224.0,MEDIUM
myelin-exec:/MatMul_8,/MatMul_8,UNKNOWN,117,/MatMul_8_myl0_117,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,79136.0,MEDIUM
myelin-exec:/MatMul_9,/MatMul_9,UNKNOWN,120,/MatMul_9_myl0_120,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,129728.0,MEDIUM
myelin-exec:/gate_proj_27/MatMul,/gate_proj_27/MatMul,gate_proj,697,__myl_FcNegExpAddDivMulMul_myl0_697,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,3,648512.0,HIGH
myelin-exec:/up_proj/MatMul,/up_proj/MatMul,up_proj,22,/up_proj/MatMul_myl0_22,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1231744.0,HIGH
myelin-exec:/up_proj_1/MatMul,/up_proj_1/MatMul,up_proj,51,/up_proj_1/MatMul_myl0_51,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_256x64_ldg8_tn_v1,7,1161376.0,HIGH
myelin-exec:/up_proj_10/MatMul,/up_proj_10/MatMul,up_proj,273,/up_proj_10/MatMul_myl0_273,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1381568.0,HIGH
myelin-exec:/up_proj_11/MatMul,/up_proj_11/MatMul,up_proj,298,/up_proj_11/MatMul_myl0_298,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1375008.0,HIGH
myelin-exec:/up_proj_12/MatMul,/up_proj_12/MatMul,up_proj,323,/up_proj_12/MatMul_myl0_323,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1378016.0,HIGH
myelin-exec:/up_proj_13/MatMul,/up_proj_13/MatMul,up_proj,348,/up_proj_13/MatMul_myl0_348,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1358208.0,HIGH
myelin-exec:/up_proj_14/MatMul,/up_proj_14/MatMul,up_proj,372,/up_proj_14/MatMul_myl0_372,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1353696.0,HIGH
myelin-exec:/up_proj_15/MatMul,/up_proj_15/MatMul,up_proj,397,/up_proj_15/MatMul_myl0_397,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1380928.0,HIGH
myelin-exec:/up_proj_16/MatMul,/up_proj_16/MatMul,up_proj,422,/up_proj_16/MatMul_myl0_422,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1388736.0,HIGH
myelin-exec:/up_proj_17/MatMul,/up_proj_17/MatMul,up_proj,447,/up_proj_17/MatMul_myl0_447,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1385440.0,HIGH
myelin-exec:/up_proj_18/MatMul,/up_proj_18/MatMul,up_proj,472,/up_proj_18/MatMul_myl0_472,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1390944.0,HIGH
myelin-exec:/up_proj_19/MatMul,/up_proj_19/MatMul,up_proj,497,/up_proj_19/MatMul_myl0_497,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1348576.0,HIGH
myelin-exec:/up_proj_2/MatMul,/up_proj_2/MatMul,up_proj,74,/up_proj_2/MatMul_myl0_74,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_256x64_ldg8_tn_v1,7,1166016.0,HIGH
myelin-exec:/up_proj_20/MatMul,/up_proj_20/MatMul,up_proj,522,/up_proj_20/MatMul_myl0_522,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1380096.0,HIGH
myelin-exec:/up_proj_21/MatMul,/up_proj_21/MatMul,up_proj,547,/up_proj_21/MatMul_myl0_547,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1450624.0,HIGH
myelin-exec:/up_proj_22/MatMul,/up_proj_22/MatMul,up_proj,572,/up_proj_22/MatMul_myl0_572,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1463168.0,HIGH
myelin-exec:/up_proj_23/MatMul,/up_proj_23/MatMul,up_proj,597,/up_proj_23/MatMul_myl0_597,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1442816.0,HIGH
myelin-exec:/up_proj_24/MatMul,/up_proj_24/MatMul,up_proj,622,/up_proj_24/MatMul_myl0_622,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1459136.0,HIGH
myelin-exec:/up_proj_25/MatMul,/up_proj_25/MatMul,up_proj,647,/up_proj_25/MatMul_myl0_647,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1443712.0,HIGH
myelin-exec:/up_proj_26/MatMul,/up_proj_26/MatMul,up_proj,672,/up_proj_26/MatMul_myl0_672,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1445088.0,HIGH
myelin-exec:/up_proj_27/MatMul,/up_proj_27/MatMul,up_proj,696,/up_proj_27/MatMul_myl0_696,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1420480.0,HIGH
myelin-exec:/up_proj_3/MatMul,/up_proj_3/MatMul,up_proj,99,/up_proj_3/MatMul_myl0_99,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1241408.0,HIGH
myelin-exec:/up_proj_4/MatMul,/up_proj_4/MatMul,up_proj,124,/up_proj_4/MatMul_myl0_124,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1248544.0,HIGH
myelin-exec:/up_proj_5/MatMul,/up_proj_5/MatMul,up_proj,149,/up_proj_5/MatMul_myl0_149,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1211008.0,HIGH
myelin-exec:/up_proj_6/MatMul,/up_proj_6/MatMul,up_proj,174,/up_proj_6/MatMul_myl0_174,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1175424.0,HIGH
myelin-exec:/up_proj_7/MatMul,/up_proj_7/MatMul,up_proj,199,/up_proj_7/MatMul_myl0_199,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1257952.0,HIGH
myelin-exec:/up_proj_8/MatMul,/up_proj_8/MatMul,up_proj,223,/up_proj_8/MatMul_myl0_223,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1257024.0,HIGH
myelin-exec:/up_proj_9/MatMul,/up_proj_9/MatMul,up_proj,248,/up_proj_9/MatMul_myl0_248,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,1357376.0,HIGH
myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul,/v_proj_2/MatMul;/k_proj_2/MatMul;/q_proj_2/MatMul,k_proj;q_proj;v_proj,55,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_55,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt;trt_ampere_h16816gemm_256x64_ldg8_tn_v1,21,4442880.0,HIGH
