nvtx_range,source_node_name,kernel_name,kern_instances,total_time_ns,onnx_op_type,operator,trt_layer_id,trt_layer_name,trt_layer_type,tactic,confidence,evidence
myelin-exec:/MatMul_28,/MatMul_28,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,99072.0,MatMul,UNKNOWN,366,/MatMul_28_myl0_366,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_29,/MatMul_29,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,152800.0,MatMul,UNKNOWN,369,/MatMul_29_myl0_369,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_3,/MatMul_3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,130368.0,MatMul,UNKNOWN,47,/MatMul_3_myl0_47,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_30,/MatMul_30,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97856.0,MatMul,UNKNOWN,390,/MatMul_30_myl0_390,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_31,/MatMul_31,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,154272.0,MatMul,UNKNOWN,393,/MatMul_31_myl0_393,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_32,/MatMul_32,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98048.0,MatMul,UNKNOWN,415,/MatMul_32_myl0_415,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_33,/MatMul_33,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158144.0,MatMul,UNKNOWN,418,/MatMul_33_myl0_418,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_34,/MatMul_34,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,96352.0,MatMul,UNKNOWN,440,/MatMul_34_myl0_440,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_35,/MatMul_35,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,156352.0,MatMul,UNKNOWN,443,/MatMul_35_myl0_443,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_36,/MatMul_36,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98720.0,MatMul,UNKNOWN,465,/MatMul_36_myl0_465,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_37,/MatMul_37,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158048.0,MatMul,UNKNOWN,468,/MatMul_37_myl0_468,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_38,/MatMul_38,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,95936.0,MatMul,UNKNOWN,490,/MatMul_38_myl0_490,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_39,/MatMul_39,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158272.0,MatMul,UNKNOWN,493,/MatMul_39_myl0_493,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_4,/MatMul_4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,75136.0,MatMul,UNKNOWN,67,/MatMul_4_myl0_67,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_40,/MatMul_40,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97760.0,MatMul,UNKNOWN,515,/MatMul_40_myl0_515,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_41,/MatMul_41,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157024.0,MatMul,UNKNOWN,518,/MatMul_41_myl0_518,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_42,/MatMul_42,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97152.0,MatMul,UNKNOWN,540,/MatMul_42_myl0_540,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_43,/MatMul_43,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,161024.0,MatMul,UNKNOWN,543,/MatMul_43_myl0_543,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_44,/MatMul_44,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,105824.0,MatMul,UNKNOWN,565,/MatMul_44_myl0_565,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_45,/MatMul_45,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,171008.0,MatMul,UNKNOWN,568,/MatMul_45_myl0_568,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_46,/MatMul_46,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,106240.0,MatMul,UNKNOWN,590,/MatMul_46_myl0_590,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
