decoder_layer,trt_layer_id,trt_layer_name,trt_layer_type,onnx_node,operator,attribution_confidence,input_shape,input_precision,weight_shape,weight_precision,output_shape,output_precision,alpha_beta_precision,alpha_beta_values,inspector_implementation_evidence,tactic_name,tactic_id,runtime_kernel_name_counts,kernel_name,kernel_family,tensor_core_usage_tactic_label,tensor_core_usage_direct_measurement,workspace,cuBLASLt_algorithm,cuBLASLt_workspace_bytes,backend_identity,comparison_status,evidence
10,273,/up_proj_10/MatMul_myl0_273,gemm,/up_proj_10/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
11,298,/up_proj_11/MatMul_myl0_298,gemm,/up_proj_11/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
12,323,/up_proj_12/MatMul_myl0_323,gemm,/up_proj_12/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
13,348,/up_proj_13/MatMul_myl0_348,gemm,/up_proj_13/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
14,372,/up_proj_14/MatMul_myl0_372,gemm,/up_proj_14/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
15,397,/up_proj_15/MatMul_myl0_397,gemm,/up_proj_15/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
16,422,/up_proj_16/MatMul_myl0_422,gemm,/up_proj_16/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
17,447,/up_proj_17/MatMul_myl0_447,gemm,/up_proj_17/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
18,472,/up_proj_18/MatMul_myl0_472,gemm,/up_proj_18/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
19,497,/up_proj_19/MatMul_myl0_497,gemm,/up_proj_19/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
20,522,/up_proj_20/MatMul_myl0_522,gemm,/up_proj_20/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
21,547,/up_proj_21/MatMul_myl0_547,gemm,/up_proj_21/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
22,572,/up_proj_22/MatMul_myl0_572,gemm,/up_proj_22/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
